"meaningid","itemname","meaningno","sentenceno","meaning","meaningEn","sentence","sentenceCh","sentenceEn","wordclass"
"908","rudu","1","0","一團一團的濃痰","lumps of phlegm","Ma su ga mseyaq seyaq rudu, Dakis ?","Dakis，你怎麼在咳濃痰？","Dakis, why are you coughing up phlegm?","名詞"
"753","baga","0","2","手","hand","Tpaqi baga da ka na nsupu.","我們一起來拍手吧!","Let's clap hands together.","名詞"
"416","keruc","1","0","鋸","to saw","Keruc btakan ga, scuqi qnedis.","把那竹子鋸掉，太長了。","Saw that bamboo. It is too long.","動詞"
"1000","pixin","0","1","蔥","green onion","Peeyah ta sknuwan mkela mekan pixil ka ita Seediq ?","我們賽德克人是從什麼時候才開始懂得吃蔥類植物？","When have we Seediq started to have green onions as food?","名詞"
"563","yupan","0","1","吹",,"Yupan mu quwaq ka cubu bnaruy laqi ma, bale ini qperuq.","我用嘴吹著孩子們買來的氣球；但那氣球沒破掉。","I blew by mouth the balloon the kids bought; but the ballon didn't blow up.",
"1009","rrei","0","1","浸泡(祈使)","to immerse (imperative); to dip","Rrei soyu mekan!","沾著醬油吃！","Eat it with soy sauce!",
"1008","mering","0","1","汗水","sweat","Kedu ba mering su Takun; hmnuwa su?","Takun，你流好多汗；你怎麼了？","Takun, you are sweating so much! What's wrong with you?","名詞"
"946","Plmukan","0","1","閩南人；平地人","the Min people; plainsman","Gisu ta mpgimax Klmukan meniq saya di.","現在我們已與閩南人混居在一起了。","Nowadays we live with the Min people.","名詞"
"897","nangi","1","0","撒嬌","to act like a spoiled child","Uxe na ngayan bale ka Nangi, tnngayan daha ado ka snnangi riyung.","Nangi不是她的真名，是因她太愛撒嬌而被他們叫做Nangi","Nangi is not her real name; she's named Nangi by them because she always acts like a spoiled child.","動詞"
"424","gemuk","0","1","蓋子",,"Wada namu psaun inu gemuk ribo nii di?","你們把這鍋子的蓋子放到哪裡去了?",,"動詞"
"427","qiri","0","1","纏住；小內割(摔跤用語：側摔)",,"Qiri papak na, ini kbeyax papak na.","用小內割摔他，他的腳沒力量。",,"名詞"
"1093","qango","1","0","跨(步)",,"Qango hini papak su, sdheriq ka btunux gaga.","你的腳要跨到這裡，那塊石頭是滑的。",,"動詞"
"955","inu","0","1","哪裡","where","Maha ku inu mkaxa si tama su?","你爸爸說他後天要去哪裡？",,"其它"
"697","thei","0","1","接受",,"Thei riyung kari rudan ka laqi na Umin, kika qrasun riyung rudan tnsapah na.","Umin的子女很聽從父母（長輩）的話，所以深得家裡長輩的喜愛。","Umin's children are obedient to the parents, thus they are adored by the elders in the family.","動詞"
"996","qlhangi","0","1","使照顧；使看著(祈使)","to look after ; to take care of","Qlhangi tikuh laqi mu nii, maha ku maruy sama.","請幫我照顧一下我的小孩子，我要去買菜。","Please take care of my kid for me; I'm out for buying vegetables.",
"436","dmurun","1","0","祈禱","to pray","Plaale miyan dmurun Tama Baro klaali mekan ido.","我們在吃飯前都會先祈禱。","We'll pray before having the meal.",
"991","trqilun","0","2","討厭","to dislike","Trqilun daha laqi mu, ini daha pspui theyaq.","他們不跟我的孩子一起玩，他們討厭我的孩子。","They won't play with my kid; they dislike my kid.","名詞"
"498","ngungu","1","0","害怕","to fear","Kedu ba ngungu su, Walis, ma su so hari uxe rseno.","Walis，你怎麼那麼怕，好像不是男人。","Walis, you're so afraid that you're not like a man.","動詞"
"774","qmqugu","0","1","雞鳴聲","crow","Qmqugu ka rodux mgrebu de, tutuuy kanna ka tnsapah mu di.","早晨，（公）雞鳴叫時我們全家人都起床了。","We the whole family had already got up when the cock crowed in the morning.","動詞"
"449","ira","0","1","杜虹花",,"Malu slmeun icux duri ka ira nii.","這個杜虹花也很適合做陷獵板。",,"名詞"
"1035","ryuxi","0","1","換掉","to replace","Ryuxi paru hari gakac su. ","你換大一點的椅子。","Change the chair for a bigger one.",
"933","rabi","0","2","夜","night","Mneyah ceka rabi ka Walis mu.","我的Walis是半夜回來了。","My Walis came back at midnight.","其它"
"922","akedu","0","1","那麼(多)；那麼地","that (much); that so","Kedu bale hei na ricah su nii, Takun?","Takun，你的梅子樹怎麼結那麼多的果實？","Takun, why does your plum tree grow so many fruits?","其它"
"772","knkingal","0","1","每一","every; each","Ga mhuma keguy kanna ka knkingal sapah alang miyan.","我們全部落的每一戶人家都有種植苧麻。","Every family in our tribe grows ramie.",
"483","ruhu","1","0","鑰匙","key","Ruhu maanu nii bubu?","媽，這是哪裡的鑰匙？","What is the key used for?","名詞"
"457","tdheriq","0","1","光鮮亮麗",,"Tdheriq riyung qtaan weewa gaga mheyu ga.","站在那裏的小姐看起來好素淨。",,
"460","pniicin","0","1","各一半",,"Pniicin ta daha ta ho?","我們一人一半好嗎？","How about each of us has a half?",
"461","paha","0","1","放置",,"Paha hini ka nisu, psaun mu hiya ka naku.","你的放這裡，我的放那邊。","Put yours here and mine over there.","動詞"
"1037","spagi","0","1","舖床(祈使)","to make the bed (imperative)","Spagi qlapo ga han yahun tagi laqi.","先鋪床吧！小孩子要來睡了。","Make the bed! The children are coming to bed now.",
"463","dungus","2","0","達到某狀況","to reach a point; to reach a status","Uka dungus na so rseno ini qeepah, maha uka brahan dmanga tnsapah na di.","不工作的男人是沒有辦法達到養家的目的。","A man who doesn't work won't be able to  raise his family.","動詞"
"465","galiq","1","0","抹布","duster; wiper","Sresi galiq ka gakac nii han.","先用抹布擦這個椅子。","Use a wiper to clean this chair first.","名詞"
"812","dremus","0","1","露水","dew","Ye mnkdalax inu peni dremus nii, mgrebu de mdremus kanna ka speriq mawaso qhuni.","也不知露水是怎麼來的，晨間的雜草以及樹葉上都沾滿著露水。","I have no idea where the dew is from that is on weeds and leaves in the morning.","名詞"
"947","Plmukan","0","2","閩南人；平地人","the Min people; plainsman","Ga kndudun egu Mukan alang ta hiya di.","在我們部落的漢人越來越多了。","There are more and more Han people in our tribe.","名詞"
"469","geela","0","1","先","first","Geela isu han; meeyah ku bukuy.","你先回去；我跟著後面來。","You go back first; I'll catch you up.","動詞"
"471","bluqun","0","1","柿子",,"Mkere brigun ka bluqun.","柿子的價格很昂貴。","Persimmon fruits are expensive.","名詞"
"472","cuuxan","0","1","較久的過去","far in the past","Mgkela nami naq cuuxan na.","我們以前就相識。","We've known each other since long time ago.","其它"
"960","na1","0","3","屬格(格位標記)","genitive case","Qtehur hari bubu na Pawan ma, rqeling hari ka bubu na Walis.","Pawan的媽媽稍為胖一點，而Walis的媽媽比較瘦。",,"其它"
"961","nanaq","0","1","僅僅; 只","(the) only (available)","Asi nanaq mkela tminun ka laqi mqedin Seediq cbeyo ge, kii si maha qrasun laqi rseno mesa tama mu.","我爸爸說以前賽德克族的婦女們一定要學會織布才會獲得男士們的青睞。","My dad said that in the past, only Seediq women who knew knitting would be adored by men.","名詞"
"478","lngelung","0","1","想",,"Iya lngelung.","不要擔心。","Don't worry.","動詞"
"479","nbuyas","0","1","肚子","stomach","Mtengi nbuyas mu di.","我的肚子很飽了。","My belly is full.","名詞"
"752","nbuyas","0","2","肚子","stomach","Ma mccubu nbuyas laqi nii, ye uxe ga mnarux?","這小孩的肚子怎麼鼓鼓的，（他）是不是生病了？","Why is this kid's belly so bloated? Is he ill?","名詞"
"481","qburung","1","0","小鐮刀","sickle","Qburung biciq ge daun daha qmburung sudu ma waso bunga.","小鐮刀是用來割草和地瓜葉的。","Small sickles are used to weed grass and yam leaves.","名詞"
"482","quyux","0","1","雨","rain","Meeyah dungan sa quyux paru ga.","可能又會下大雨。","It may rain heavily again.","名詞"
"486","qheruy","1","0","(向賣主)喊價","to bargain","Qheruy tikuh Umin; kedu ba knkere bnrigan na.","Umin，（跟他/老闆）殺個價；（他）怎麼賣的那麼貴。","Umin, bargain with him; it's too expensive.","動詞"
"487","rebu","1","0","尿","to urinate","Uxe rebu ngiyo ga nii di? Psai ngerac da ngiyo ga.","這是不是那隻貓尿的？把那隻貓放到外面去。","Is the urine from that cat? Get that cat outside.","動詞"
"489","balung","0","1","蛋；卵","egg","Egu ba balung tnbalung na bubu rodux ga.","那隻母雞生了很多蛋。","That hen laid many eggs.","名詞"
"490","diyan","0","1","白天；晝日","daytime","Diyan da! Tutuy kanna di.","天亮了！起床吧！","It's daytime! Get up!","名詞"
"491","knkawas","0","1","年齡","age","Piya knkawas su saya di?","你幾歲了？","How old are you?",
"492","keeman","0","2","晚上；夜晚",,"Keeman da! Osa di!","晚上了！回家吧！","It's night! Go home!","其它"
"493","mangal","0","2","取拿","to take","Ga mangal maanu ka swai su rseno ga?","你的弟弟在拿什麼？","What is your brother taking?",
"494","mhuqil","0","1","死亡；枯死","to die","Wada mnarux paru, kii wada mhuqil di.","他重病而死亡。","He died of serious illness.",
"722","kesun","1","0","所謂的","so-called","Kesun sapac ge dheran nuupu kanna seediq tnaalang.","所謂的sapac是部落人所共有的土地。",,
"665","qlahang","0","1",,,,,,"動詞"
"504","mhuwe","1","0","慷慨；親切",,,,,
"507","smino","1","0","釀酒",,"Uka riyung seediq smino sino macu saya ka alang ta di, ado ka ini phuma macu.","現在我們部落已很少有人以小米來釀酒了，因已不種植小米(的關係)。",,
"896","hmuwa","0","2","如何","how","Hmuwa, ini baka nana? Meyah piya?","怎麼樣，還不夠嗎？還要幾個？","How about it? Not enough? How many more do you want?","名詞"
"750","mbeyax","0","2","贏家；強勢",,"Ye ta wada mbeyax ka ita ?","我們贏了嗎？","Have we won?",
"510","hwaun","0","1","要幹嘛","to do what","Hwaun su kana sino nii?","你要這些酒做什麼？","Why are you asking for the wine?",
"511","hmuwa","0","1","如何","how","Gaga su hmuwa di?","你怎麼了？","What happened to you?","名詞"
"514","qeraq","0","1","捕抓",,"Qeraq ququq ga Pinang; maha qduriq di.","Pinang，抓住那隻鵝；牠要逃走了。","Pinang, grab that goose. It's escaping.","動詞"
"515","mgkela","0","1","互相認識","to know each other","Tena nami naq mgkela cuuxan na.","我們以前早就認識了。","We've known each other before.",
"516","pneeyah","0","1","從...",,"Pneyah miyan Taype keeman ciga yami ka Watan Nobing.","昨晚我和 Watan Nobing 從台北來。","Watan Nobin and I came from Taipei last night.",
"521","smgaliq","0","1","撕",,"Ga su smgaliq maanu Ape?","Ape 你在撕什麼東西？","Ape, what are you tearing?",
"917","qlqahun","0","1","踩踏",,"Malux qlqahun ka lexi pnhdagan kiya di?","怎麼用腳踩那乾筍呢？",,
"524","tdoruy","1","0","夜鷹","Caprimulgiformes","Ye mqalux ka uban hei na tdoruy?","夜鷹身上的羽毛是黑色的嗎?","Are the feathers of that Caprimulgiformes black?","名詞"
"526","biqun","0","1","給",,"Biqun su na knuwan pila knbrexan na Boxing di?","Boxing 跟你借的錢什麼時候要給(還)你？","When is Boxing returning the money he borrowed from you?",
"1193","mduwa","0","1","很快(順暢如車輛行駛的快、陀螺旋轉的正、槍枝及弓箭射得準)","to be fast","Mduwa spgeriq rulu na Takun.","Takun的車開起來很快。",,"動詞"
"769","knchedil","0","1","重","heavy","Maha knhenu knchedil paye desun su?","你要帶多少重量的稻米?","How much weight of rice will you carry?",
"768","knuwan","0","1","何時","when","Maha su knuwan Holi ka isu ?","你什麼時候到埔里去? ","When are you going to Hori?","名詞"
"532","neepah","0","1","耕地",,"Ga mu phmaun aring neepah mu.","我在我的田地上種了桃子。","I've planted peaches in my field.",
"533","pdagic","0","1","女用綁腿",,"Nima pdagic icin nii? Ga inu icin na di?","這是誰的一只綁腿布？另外一只呢？",,"名詞"
"1007","kuluk","1","0","蚌的殼；蛤蠣的殼","shell","Ini traguh kuluk na nana, ga ini khada na.","它的蚌殼還未開，它還沒熟。",,"名詞"
"536","psseli","0","1","一起集中",,"Psseli pila namu.","把錢一起收集。",,
"1011","hteri","0","1","關起來；擋起來","to close, to lock","Iya hteri ka oda seediq kii. Psgila namu qqpahan  daha di.","不要擋住人要經過的地方。(那樣)你們會影響他們工作。","Do not block the passing road. You will trespass on their working.",
"538","pungu","1","0","樹結",,"Kedu knparu pungu qhuni nii.","這棵樹的樹結好大。",,"名詞"
"621","rulu","0","1","車子","car","Teyan bale knbbaro rulu puniq.","火車好長啊！","The train is long!","名詞"
"989","trqili","0","1","討厭；厭惡","to hate","Iya trqili seediq gaga ini kela oda.","不要去討厭那個還不會做事的人。","Don't dislike that guy who's unable to work yet.","名詞"
"1010","qmulah","0","1","堆集雜草",,"Qhedu qmulah han, kii si maha ta ini ta beyo tmukuy macu.","我們趕快除完草，這樣我們很快就可以播種小米了。",,
"543","tloong","0","1","坐下",,"Tloong hini wa! Suupu ta theyaq!","坐這邊！我們一起玩！","Sit here! Let's play together!","動詞"
"545","bkeyun","0","1","綁",,"Bkeyun ta inu di, Huling nii?","我們要把狗綁在哪裡呢？","Where are we leashing the dog?","名詞"
"549","ddudul","0","1","照護；保護；呵護","to take care of ; to protect","Ddulun mu naq laqi mu, ado so mtduwa.","我要親自帶我的子女，使他們能聽話。","I'll raise my kids on my own and make them obedient.",
"957","na1","0","1","屬格(格位標記)","genitive case","Na dheya ka kiya, nii ka nita.","那是他們的，這才是我們的。",,"其它"
"552","ani naq","0","1","不論",,"Ani naq knuwan uxe su mu chngiyung.","不論何時，我不會忘記你。","I won't forget you no matter when.",
"1013","hruwan","0","1","以某物為照明","to illuminate with something","Wada mapa harung ka dheya, hruwan daha keeman.","他們去揹松柴以做為晚上的照明。","They're going to carry firewood for illumination at night.","動詞"
"854","epux","1","1","薄的","thin","Epux ka pngerah na Sapu.","Sapu的碗是薄的。","Sapu's bowl is thin.","動詞"
"555","kesa","1","0","說","to tell","Kesa (kesi) tama mu, meyah ku kusun di kesi (kesa).","跟我爸爸講，我明天才回家。",,"動詞"
"556","tn-breyan","0","1","子宮","uterus","Saun tloong laqi menaq nbuyas bubu kesun tn-breyan.","子宮是孩子在媽媽腹中的搖籃。",,
"737","lmiqu","1","1","狩獵",,"Wada lmiqu dePidu wa.","Pidu 他們上山狩獵去了耶。","Pidu and his friends went to the mountains to hunt.","其它"
"1002","muuxun","0","1","暖和","to be warm","Muuxun hlagun capang nii.","這床棉被蓋起來很溫暖。","The quilt warms.","其它"
"1019","posa","1","0","使去","to make someone go","Posa Hori laqi nii kusun, mmaha mari lukus daha.","明天讓孩子們去埔里，他們要去買衣服。",,
"1016","qeepah","0","1","工作","to work","Qeepah hari sa. Iya so heya mbserux.","要常常工作，不要像他一樣懶惰。","Work often. Don't be as lazy as him.","動詞"
"1030","pnaadis","1","0","帶",,"Nii lukus su pnaadis na Takun, cnhngiyan su sapah na si.","這是你的衣服，是Takun叫人帶回來的，他說是你忘在他家的。",,
"974","cghuur","0","3","上吊(自縊)","to hang oneself","Egu wada cghuun seediq ciida pccebu daha ka Tanah Tunux.","賽德克族人跟日本人打仗之後，很多人上吊自殺。","After the war between Seediq and Japan, many people committed suicide by hanging.","動詞"
"562","smbeyax","0","1","鼓勵",,"Meyah smbeyax yamu ka koco ta; tpaqe ta baga.","我們的校長來鼓勵我們；我們來拍手(歡迎他)。","Our principal is coming to encourage us; let's have a round of applause for him.","名詞"
"564","druni","1","0","代轉；轉求","to forward; to beg","Druni Tama Baro qnquwan ndaan ta bobo dheran.","我們為在世上的罪惡祈求天主。","We prey to God for secular sins.",
"886","pntnai","0","1","使相同(祈使)","to assimilate (imperative)","Pntnai kanna napa namu ga.","讓你們的行李都一樣(大)。","Make your baggage equal in size.",
"885","mntena","0","1","一樣；相同","to be the same","Mntena kari tita.","我們的語言是一樣的。","Our languages are the same.",
"1012","hlagi","0","1","蓋被子(祈使)","to cover with a comforter  (imperative)","Hlawi laqi; gaga msekuy.","給孩子蓋被子；他很冷。","Cover the child with a comforter. He is cold.",
"927","liingi","0","1","藏起來(祈使)","to hide something","Liingi nhari hari! Qtaan daha di.","趕快藏起來，會被他們看到。","Hide quickly or they'll find you.",
"568","pberih","0","1","吐","to throw up","Ma gaga mnarux laqi ga, kii ga pberih.","那個小孩生病了，所以正在嘔吐。","That kid is ill so he is puking.",
"999","sqerul","0","1","燒焦","to be burned","Maanu so sqerun kii? Ye uxe ido ga namu hprayun?","什麼東西烤焦了？是不是你們煮的飯煮焦了？","Something seems to burn. Is that what you're cooking?",
"570","dooyun","0","1","拿著；握著","to hold","Ini huwa, plaxi! Dooyun mu.","沒有關係放掉它！我會握著。","It's ok, let go of it! I'll hold it.",
"572","klaun","0","1","知道","to know","Klaun mu wa. Iya rengo di.","我知道了。別再說了。","I already know. Stop telling me that.",
"574","skpahung","0","1","懷孕","pregnant","Mqras riyung ga skpahung qedin na Sapu ga.","Sapu 很高興他的太太懷孕了。",,"名詞"
"575","smtuku","0","1","儲工",,"Wada su haan smbarux ali su di?","你已經把你儲存的工時做完了嗎？",,
"577","ahuc","0","1","長型扁底鋤頭",,"Ahuc urung de malu sceyan btunux.","十字鎬很容易切斷石頭。",,"名詞"
"987","duri","0","2","也","also","Snkuhun ku mosa muyas ma sokiya heya uri.","我喜歡唱歌，他也是。","I like to sing, and so does he.","其它"
"580","blebun","0","1","香蕉","banana","Hei blebun purun de dhequ ma biciq hari.","芭蕉的果實比較短小一點。",,"名詞"
"581","dheran","0","1","泥土；塵土；土地","dust","So hari mskingal hari sapah kanna seediq bobo dheran nii saya di.","現代世界就像一個家庭。","The modern world is like a family.","名詞"
"582","bubu","0","1","母親","mother","Bubu mu rudan ka mnahu lukus nii.","這些衣服是我祖母洗的。","The clothes are washed by grandma.","名詞"
"585","rabi","0","1","夜","night","Mneyah ku ceka rabi ciga ka yaku.","我昨晚是午夜回來的。","I came back at midnight yesterday.","其它"
"586","cuguk","0","1","咸豐草",,"Seedan lukus ka cuguk metaq de, rriqu ba lmuun","咸豐草沾上衣服時，就很難拔除掉。","When Achyranthes rubrofusca Wight. hits on the clothes, it's not easy to get rid of it.","名詞"
"935","rhurah","0","1","拆除","to dismantle","Rhurah npaan daha wa. Teta maanu napa daha.","把他們的行李解開吧！看他們揹載著什麼(東西)。","Open their baggage. See what they're carrying.",
"588","raqic","0","1","箭矢",,"Egu snalu daha raqic budi ga daha psaun cuqi raqic.","他們製做了很多的箭矢放在箭矢筒中。",,"名詞"
"1026","pqhedu","0","1","將完成","to finish something","Nhari hari wa! Pqhedu ta knuwan di.","快一點呀！我們何時才能完成。","Hurry! When will we complete it?",
"1006","pllingi","0","1","釣(祈使)","to fish","Pllingi qcurux ga Awi; teta gmatuk.","Awi，(你)釣那條魚；看牠會不會上鉤。","Awi, fish that fish, and see if it will get hooked.",
"969","hngedi","0","1","煮(祈使)","to cook (imperative)","Hngedi rapic dnngeyan bnege Utun peni, puqun daha.","把 Utun 給我們的燻乾飛鼠肉煮了給大家吃。","Cook the smoked flying squirrel that Utun gave us and share it with everyone.",
"597","baga","0","1","手","hand","Qtehun bale kulo baga na qbsuran mu rseno.","我哥哥的手臂很粗。","My brother has thick arms.","名詞"
"971","Khilang","0","1","客家人",,"Ye ta ado ini suupu meniq Khilang, kika ini ta kela mbahang kari daha. ","或許我們沒與客家人混居之故，所以我們聽不懂他們的言語。","We don't understand Hakka probably because we don't live with the Hakka people.","名詞"
"599","laqi","0","2","小孩；孩童",,"Laqi rabu nima ka nii?","這是誰的嬰兒？","Who's baby is this?","名詞"
"1228","buling","0","1","很難想像(某人會做某事)","it is hard to imagine","Ma buling smnegul mosa neepah Dakis ga peni. ","Dakis會跟著去耕作耶。(Dakis很少或根本就不去耕作的) ",,"其它"
"1223","snhii","0","1","相信",,"Iya snhii kari na Dakis ga. ","不要相信Dakis說的話。",,"動詞"
"601","daha1","0","1","二(數詞)","two","Maxan daha ka mtswai mu.","我有十二位兄弟姐妹。","I have twelve siblings.","名詞"
"602","kingal","0","1","一","one","Smnalu maxal kingal gukuc rulu ka tama mu.","我的爸爸製作十一部車的車輪。",,"其它"
"1018","hwaun","0","2","要幹嘛","to do what","Hwayun su mchaya ka uruk huling kiya?","你怎麼要把小狗那樣（玩耍）？",,
"604","parih","0","1","鋤頭","hoe","Moda mhuma ma moda qmulah sudu ka parih biciq.","小鋤頭可以用來種植、除草。",,"名詞"
"605","parih","0","2","鋤頭","hoe","Mangal parih daqa moda tmabul yqeyaq.","使用牛犁來犁田。",,"名詞"
"951","ye","0","1","疑問詞","question word","Ye ga taqi ka Umin nana? ","Umin還再睡覺嗎？",,"其它"
"619","rulu","0","1","車子","car","Teyan bale knbbaro rulu puniq.","火車好長啊！","The train is long!","名詞"
"901","gaga","2","0","正在(進行某個動作)","is V-ing","Wada mahu lukus ruru hii ka bubu mu ma, ga cmeyax qhuni gaga ka tama mu.","我媽媽到溪裡洗衣服，我爸爸正在那裡劈柴。",,"其它"
"954","sknuwan","0","1","何時","when","Mneyah namu sknuwan?","你們什麼時候來的？","When did you come?","動詞"
"1025","rako","1","0","不按順序(跳越)",,"Iya rako lmamu namu wa, hawan. ","你們不要跳著採，(沒採收)可惜。",,"名詞"
"624","sapah","0","1","家","house","Tnaapa ku sapah skiya mosa theyaq alang bukuy rcilung.","我搭過飛機出國旅行。","I've been traveling by plane.","名詞"
"626","sapah","0","1","家","house","Tnaapa ku sapah skiya mosa theyaq alang bukuy rcilung.","我搭過飛機出國旅行。","I've been traveling by plane.","名詞"
"1022","toraku","0","1","大卡車","truck","Wada hqulun toraku kanna bnaquy yayung di.","河邊的沙子都被卡車給運走了。","The sand on the riverside is all carried away by truck.","名詞"
"895","naka","0","1","應該；本來","should","Naka su mbleyaq hari ka isu Takun; isu ka qbsuran daha han.","Takun，你應該做(表現)的好一點；你是他們的兄長耶。","Takun, you should have done it better; you're their brother.","動詞"
"629","tubu","0","1","口簧琴","musical instrument","Mkela ku smmalu tubu qoqo ka yaku.","我會製作單簧的口簧琴。","I can make Jew's harps.","名詞"
"669","meniq","0","1","所在的位置",,"Ima ga meniq sapah bgurah gaga?","那棟房子是誰住的呢?","Who lives in that house?",
"631","tubu","0","1","口簧琴","musical instrument","Mkela ku smmalu tubu qoqo ka yaku.","我會製作單簧的口簧琴。","I can make Jew's harps.","名詞"
"670","eniq","0","0","所在之處","to be at some place","Ini eniq sapah hii bubu su?","你媽媽不在家嗎？","Isn't your mom home?","動詞"
"891","rudan","0","1","老人家；族老","senior","Ini thei kari rudan de, mangal hari ndaan naqah.","不聽從老人經驗的教導會讓我們重蹈覆轍。","We'll repeat the failure if we don't follow the seniors' experienced instructions.","名詞"
"911","msekuy","0","2","冷","cold","Msekuy riyung ciga mesa tama mu.","我父親說昨天的天氣非常冷喔。","My father said it was very cold yesterday.","其它"
"902","rupun","0","1","牙齒","tooth","Rupun su, bhege bale gtaan.","你的牙齒看起來很白。","Your teeth look very white.","名詞"
"892","serus","0","1","擦拭","to wipe","Serus isu gagi ga di Uma; mhedu ku smkesik sapah ka yaku di.","Uma，窗戶由妳來擦了哦；家我已掃好了。","Uma, the window is for you to clean; I've swept the house.","動詞"
"1023","cudu gamin","0","1","蕗藤","Tubaroot Jewelvine","Lmiqu nii skdiyan daha cudu gamin ka seediq alang miyan.","這座山是我們部落族人尋找蕗藤的地方。",,"名詞"
"1100","guyuq","1","0","設陷阱","to set up a trap","Iya guyuq eluw ddaun seediq; uxe de moda tdiyan hii ka seediq.","不要在人要走的路上設陷阱；陷中路人就糟糕了。","Don't set up a trap on the pathway; or it'll be terrible if passengers are hurt.","動詞"
"985","bukung 1","1","0","駝背",,"Niqan naq seediq mbukung druri, ani so kiya we ini mhmeti mesa bukung. ","人也有(天生)駝背，即使如此我們不可以叫人家為""駝背者""。",,"動詞"
"986","liingi","0","2","藏起來(祈使)","to hide something","Liingi nhari, gisu bubu su di.","趕快藏起來，你媽媽來了。",,
"1001","paras bale","0","1","破布子","Cummingcordia","Lmui kana paras ga. Deso ta sapah di.","把那破布子撿起來，我們帶回家去。","Pick up the cummingcordia. Let's take it home.","名詞"
"900","gaga","1","0","那個","that","Ga mlukus lukus qalux ga ka tama mu ma, bubu na Takun ka ga mheyu ssiyo na.","(那位)穿著黑色衣服的是我爸爸，站在他旁邊的是Takun的媽媽。","That guy in black is my dad; and the one standing beside him is Takun's mom.","其它"
"765","duri","0","1","也","also","Mnekan ku ido ka yaku di, ma tama mu duri.","我吃過飯了，我爸爸也吃過了。","I've had my meal; so did my dad.","其它"
"667","kurang","1","0","硬顎","palate","Saadux riyung kurang camac.","山豬的顎很硬。","The boar's palate is very hard.","名詞"
"968","hnwaan","0","1","把...怎樣","to do something to another","Hnwayan namu huling nii ha? Ma ga stkemu di.","你們把這隻狗怎麼啦？牠怎麼縮著了。","What have you done to this dog? It is cringing.",
"655","rseno","0","1","男子；男人；男性","man","Kingal ka qbsuran mu rseno.","我有一位哥哥。","I have a brother.","名詞"
"959","gleki","0","1","搶奪(祈使)","to snatch","Iya gleki ka na laqi kiya, osa naq mangal ka isu.","那小朋友的你不要搶，你自己去拿。",,
"958","na1","0","2","屬格(格位標記)","genitive case","Tama mu ka ga mheyu berah na bubu su.","站在你媽媽前面的是我爸爸。",,"其它"
"939","mkala","0","0","爬升","to rise","Ga mkala dgiyaq hido ga di.","太陽升到山頂上了。",,
"767","tikuh","0","1","一點點；一些些","few","Ga kmeruc tikuh wawa so sapah hprayan hii ka heya.","他在廚房切一些肉。","He is slicing some meat in the kitchen.","名詞"
