標記內容	宣傳手法	原句	
衝擊	LL	從 外交 、 ＴＰＰ 到 輔導 國內 豬農 因應 衝擊 、 產業 升級 ，	
撐腰	LL	沒有 政績 撐腰 卻 整肅 國會 議長 ，	
淪為	LL	因 救援 延遲 政府 淪為 眾矢之的 ，	
眾矢之的	LL	因 救援 延遲 政府 淪為 眾矢之的 ，	
危機	LL	而 不僅 是 突發性 危機 可能 導致 輿論 翻轉 ，	
民怨	LL	長期 漠視 民意 也 是 民怨 發酵 的 大 悶 鍋 。	
漠視	LL	長期 漠視 民意 也 是 民怨 發酵 的 大 悶 鍋 。	
黑箱	LL	二○一五年 的 反 黑箱 課綱 ，	
食髓知味	LL	食髓知味 繼續 施壓 且 加大 分化 該 黨 的 內部 矛盾 ，	
激勵	LL	受到 台灣 認同 激勵 ，	
諷刺	LL	豈不 諷刺 至極 ？	
矛盾	LL	而 美 日 與 中國 在 南海 與 東海 的 戰略 矛盾 ，	
欺騙	LL	絕非 對 內 欺騙 。	
諷刺	LL	諷刺 的 是 ，	
諷刺	LL	更 諷刺 的 是 ，	
不當	LL	處置 不當 黨產 ，	
不當	LL	不當 黨產 處理 條例 違法 違憲 ，	
致命傷	LL	年紀 也 未必 是 致命傷 。	
淪為	LL	他 自己 不惜 淪為 「 一中 」 馬前卒 ，	
失敗 的	LL	正在 延續 失敗 的 總路線 ，	
清新	LL	迎向 社會 主流 展現 清新 氣象 ，	
嚴峻	LL	或者 他們 眼前 的 其他 挑戰 更為 嚴峻 ，	
衝突	LL	經常 可見 文明 衝突 ，	
封殺	LL	全 都 傳出 「 被 封殺 」 ，	
濫情	LL	轉型 正義 濫情 道歉 許多 原住民 還 不 領情 。	
不當	LL	追討 不當 黨產 已經 立法 ，	
民怨	LL	假使 新政府 眼高手低 民怨 免不了 。	
不當	LL	顧立雄 出掌 不當 黨產 處理 委員會 ，	
恐怖	LL	銅鑼灣 書店 事件 的 紅色 恐怖 ，	
覺醒	LL	只要 愈來愈 多 港人 覺醒 也 非 無可 作為 ，	
反感	LL	表達 對 港府 與 親 北京 的 建制派 議員 的 反感 。	
打壓	LL	但 北京 愈 打壓 民主 ，	
啟發	LL	受到 台灣 太陽 花 運動 的 啟發 。	
有志一同	LL	兩 個 黨國 有志一同 ，	
打壓	LL	儘管 遭到 北京 打壓 ，	
硬	LL	沒有 發生 後來 馬英九 執政 硬凹 九二 共識 ，	
衝擊	LL	聯合國 二七五八 號 決議 衝擊 之下 ，	
嚴重	LL	政治 上 的 象徵 符號 與 客觀 上 的 實務 操作 嚴重 脫節 。	
伎倆	LL	都 可 看出 是 企圖 從 內部 分化 台灣 的 統戰 伎倆 。	
惡評	LL	連日 社會 惡評 不斷 ，	
粗糙	LL	也 凸顯 中國 統戰 手法 粗糙 ，	
有志一同	LL	還 真 紅 、 藍 有志一同 ，	
卑躬屈膝	LL	過去 八 年 中國 為 獎勵 馬 政府 對 其 卑躬屈膝 ，	
對付	LL	中國 對付 台灣 ，	
陷阱	LL	「 藍八奴 」 案 是 中國 逼迫 台灣 接受 「 九二 共識 」 的 「 一 個 中國 」 陷阱 一 環 ，	
陷阱	LL	企圖 把 台灣 框入 「 一中 」 陷阱 ，	
困境	LL	是 台灣 陷入 近年 政經 困境 的 源頭 。	
軟土 深 掘	LL	軟土 深 掘 ，	
當頭棒喝	LL	只有 對 投 共 賣 台 者 當頭棒喝 ，	
毀滅	LL	搞不好 弄巧成拙 反而 撕裂 、 毀滅 了 國民黨 ！	
杯葛	LL	都 遭到 馬英九 指揮 立院 黨團 杯葛 到底 ，	
強 渡 關山	LL	最後 連 服貿 協議 、 黑箱 課綱 也 差點 強 渡 關山 。	
危機	LL	至於 兩岸 僵局 重點 在於 危機 控管 ，	
玩弄	LL	北京 玩弄 「 不 承認 九二 共識 便是 製造 麻煩 」 戲法 ，	
反擊	LL	遂 召開 記者會 反擊 中國 大使館 求 功 心切 ，	
背離	LL	「 所作所為 背離 了 國家 統一 的 大 方向 ，	
傷害	LL	對 兩岸 政治 關係 造成 了 大 傷害 」 。	
沾沾自喜	LL	馬英九 常 沾沾自喜 ，	
有志一同	LL	國 共 目前 有志一同 都 不再 懸念 。	
打壓	LL	馬來西亞 打壓 馬英九 事件 ，	
剝奪	LL	剝奪 少數 人 表達 意見 權利 的 缺憾 。	
錯誤	LL	政府 團隊 對 現代 社會 溝通 的 認知 和 觀念 錯誤 ，	
放任	LL	不然 就是 放任 對 立方 毫無 交集 的 相互 謾罵 。	
淪為	LL	所謂 的 民主 程序 淪為 躲避 負責 ，	
併吞	LL	反對 中國 併吞 台灣 ；	
威脅	LL	都 是 北京 在 不斷 加強 對 台 武力 威脅 的 同時 ，	
諷刺	LL	諷刺 的 是 ，	
矛盾	LL	偏右 綠 、 偏 左 綠 之間 的 心結 、 矛盾 難免 滋生 。	
高高在上	LL	反觀 黨國 高高在上 暮氣沉沉 ，	
一意孤行 ，	LL	但 國民黨 主事 者 卻 一意孤行 ，	
嚴重	LL	最 嚴重 的 是 ，	
風險	LL	不能 冒 風險 於 一 個 本土 政黨 與 一 個 外來 政黨 之間 的 輪替 。	
淪為	LL	本身 也 時 左 時 右 的 完全 執政 者 淪為 眾矢之的 ，	
一意孤行	LL	一意孤行 決定 油電雙漲 ，	
黑箱	LL	油電雙漲 以及 黑箱 服 貿 ，	
民怨	LL	一般 自認為 引起 民怨 的 政策 咎 在 更 高層 。	
險境 ，	LL	徒然 揚起 塵土 從而 自 陷 險境 ，	
併吞	LL	證明 利用 外來 政黨 併吞 台灣 的 路 走 不 通 。	
風險	LL	它 的 曖昧性 存有 不 小 風險 。	
恐嚇	LL	當年 自己 挺 扁 遭 人 恐嚇 「 殺光 他們 一家人 」 ，	
威脅	LL	而 威脅 他 的 人 就是 現任 海基會 董事長 田弘茂 。	
恐嚇	LL	雖然 當事人 聲明 「 當時 絕無 言語 恐嚇 的 事情 」 ，	
淪為	LL	民進黨 主導 的 國會 則 淪為 跑龍套 。	
諷刺	LL	不啻 是 馬英九 「 溫良 恭儉 讓 」 包裝 的 莫大 諷刺 。	
衝突	LL	現實 的 權力 衝突 ，	
可笑	LL	可笑 的 是 ，	
一意孤行 ，	LL	被 這 個人 拿來 一 人 獨裁 一意孤行 ，	
罔顧	LL	罔顧 台灣 平民 百姓 的 生活 福祉 與 選擇 自由 。	
失敗 的	LL	整體 走向 還是 朝 證明 失敗 的 總路線 滑行 ，	
破產	LL	不顧 國家 破產 ，	
恐怖	LL	他們 未曾 真正 同情 從 二二八 到 白色恐怖 的 受害 者 ，	
淪為	LL	往往 就 會 淪為 眾矢之的 。	
障礙	LL	時代 的 明顯 差異 經常 造成 對話 的 障礙 。	
衝擊	LL	嚴重 衝擊 台灣 的 成長 所得 ，	
圖謀	LL	迎向 北京 圖謀 台灣 的 政治 目標 ，	
黑 箱	LL	杯葛 國共黑 箱 服貿 協議 。	
暴力	LL	遭 暴力 相 向 。	
暴力	LL	閣揆 林 全 除了 譴責 暴力 行為 ，	
不當	LL	這 當然 是 「 番薯 簽 比 魚翅 」 之類 的 不當 比擬 。	
挺身而出	LL	學生 及 公民 團體 因 服貿 諸多 問題 挺身而出 。	
危機	LL	十五 年 內 將 陸續 面臨 破產 危機 ，	
暴力	LL	不 訴諸 暴力 ，	
暴力	LL	反 改革 者 卻 已 脫序 暴力 舉止 盡出 ，	
反感	LL	激發 公眾 反感 ，	
黑箱	LL	更 有利於 國共 黑箱 促統 ，	
黑箱	LL	反對 國共 黑箱 服 貿 協議 ，	
衝擊	LL	中 巴 建交 事件 對 台灣 的 衝擊 ，	
衝擊	LL	「 衝擊 了 兩岸 穩定 的 現狀 」 、 「 政府 將 重新 評估 兩岸 情勢 」 ，	
專制	LL	這 也 是 民主 台灣 抗衡 專制 中國 ，	
錯誤	LL	也 令 人 不無 擔心 對 北京 發出 錯誤 的 訊息 。	
霸凌	LL	中國 可能 得 出 「 霸凌 有效 」 的 結論 ，	
遍 地 開花	LL	孰知 太陽 花 遍 地 開花 ，	
危機	LL	這 才 是 台灣 最 可怕 的 危機 ！	
霸凌	LL	台灣 愈 是 被 中國 霸凌 ，	
專制	LL	反而 隨著 專制 中國 起舞 ，	
遍 地 開花	LL	太陽花 運動 所以 能 遍 地 開花 ，	
專制	LL	以及 民主 與 專制 的 撞擊 ，	
挺身而出	LL	挺身而出 捍衛 自家 與 國家 。	
對付	LL	是 用來 對付 小英 政府 的 統戰 對象 。	
背離	LL	「 馬英九 的 所作所為 背離 了 國家 統一 的 大 方向 」 ，	
硬	LL	習近平 對 台 硬 的 更 硬 ，	
困境	LL	國民黨 便 陷入 進退維谷 的 困境 ，	
變 不 出新 把戲	LL	社論 》 「 一 代 一 線 」 仍然 變 不 出新 把戲 ！	
衝突	LL	顯然 在 採取 衝突 邊緣 策略 。	
困境	LL	年輕人 更 面臨 工作 上 的 困境 。	
反感	LL	年輕人 對 中國 的 強烈 反感 ，	
打壓	LL	打壓 動作 層層 升高 ，	
困境	LL	意圖 加劇 台灣 的 經濟 困境 ，	
困境	LL	甚至 中國 是 台灣 經濟 困境 的 解藥 。	
專制	LL	中國 是 專制 政權 ，	
矛盾	LL	但 內部 矛盾 ，	
民怨	LL	受害 民怨 在 太陽 花 運動 一 次 總 爆發 。	
困境	LL	這 是 擺 在 大家 眼前 的 「 吳敦義 困境 」 。	
混亂	LL	當前 的 台灣 處於 一 個 混亂 的 年代 ，	
混亂	LL	台灣 在 失序 混亂 中 展現 強韌 的 生命力 。	
恐怖	LL	它 已經 是 恐怖 行動 的 層次 ，	
威脅	LL	凸顯 中國 對 台灣 的 威脅 已經 由 外部 延伸到 內部 ，	
惡果	LL	即已 種下 惡果 ，	
淪為	LL	卻 也 淪為 兩岸 經濟 依賴 關係 下 的 犧牲 者 ，	
嚴重	LL	這 種 不 正常 的 傾斜 愈發 嚴重 ，	
打壓	LL	展開 了 全面 的 打壓 ，	
暴力	LL	讓 陳抗 事件 的 暴力 不斷 升級 。	
挺身而出	LL	只有 政府 挺身而出 ，	
錯誤	LL	否則 民進黨 若 重返 執政 將 改正 錯誤 ；	
錯誤	LL	小英 政府 有沒有 改正 馬 政府 的 錯誤 ？	
諷刺	LL	對於 高喊 轉型 正義 的 小英 政府 何其 諷刺 ？	
遺毒	LL	所以 對 黨國 時代 的 教育 遺毒 麻木不仁 。	
剝奪	LL	就業 、 低薪 、 晚婚 、 少子 、 南北 失衡 、 東西 隔離 、 城鄉 差距 、 世代 剝奪 、 貧富 世襲 等等 ，	
錯誤	LL	宣稱 要 改正 馬 政府 錯誤 的 小英 政府 ，	
錯誤	LL	竟然 繼續 在 執行 馬 政府 的 錯誤 。	
偷渡	LL	企圖 以 文言文 偷渡 意識 形態 ，	
霸凌	LL	而 非 由 上 而 下 的 思想 霸凌 。	
硬	LL	民進黨 軟 的 變硬 。	
灰頭土臉	LL	大 巨蛋 案 一 度 讓 他 灰頭土臉 ，	
威脅	LL	壓制 潛在 的 威脅 ，	
暗潮	LL	卡位 與 逐利 暗潮洶湧 ，	
不當	LL	固有 引人 不當 聯想 的 曖昧 ，	
恐怖	LL	所謂 台灣 時常 陷入 「 赤色 恐怖 」 ，	
打壓	LL	中國 以 經濟 為 籌碼 強力 打壓 台灣 ，	
強 渡 關山	LL	兩岸 服 貿協 定 可能 已 在 立法院 強 渡 關山 之 馬英九 執政 時期 ，	
蠶食	LL	一旦 台灣 經濟 與 產業 被 中國 蠶食鯨吞 ，	
一意孤行	LL	以及 馬英九 執政 期間 一意孤行 到 馬習會 的 國共 共識 ，	
專制	LL	照理 說 應該 是 專制 中國 的 專利 ，	
報復	LL	所謂 的 報復性 投票 、 鐘擺 效應 絕對 不可 兒戲 ，	
對付	LL	對付 本土 政權 ，	
詬病	LL	最 大 的 詬病 在於 ，	
背離	LL	不容 背離 者 掏空 國家 幫 二三○○萬 人 簽 了 賣身契 。	
淪為	LL	更 勢將 淪為 亞太 孤鳥 ，	
杯葛	LL	而 國民黨 立委 蔣 萬安 發言 兩 個 多 小時 杯葛 議事 ，	
失敗 的	LL	當然 其中 還 有 馬英九 執政 失敗 的 背景 。	
矛盾	LL	綠營 與 白營 的 矛盾 ，	
輕忽	LL	不宜 輕忽 。	
打壓	LL	長期 漠視 、 打壓 勞工 的 國民黨 ，	
淪為	LL	而 民進黨 卻 淪為 工運 勞團 的 抗議 對象 ，	
諷刺	LL	便是 攻守 換 防 的 諷刺 畫面 。	
覺醒	LL	而是 隨著 公民 意識 覺醒 、 太陽 花 學運 、 柯文哲 旋風 而 水漲船高 的 。	
杯葛	LL	除了 在野黨 監督 制衡 、 強力 杯葛 之外 ，	
淪為	LL	部分 民眾 淪為 職場 魯 蛇 ，	
黑箱	LL	衝破 黑箱 與 陰暗 ，	
淪為	LL	徒然 使 嚴肅 的 抗爭 淪為 膚淺 的 文創 表演 。	
詬病	LL	打破 眾 所 詬病 的 鳥籠 公投 ，	
淪為	LL	萬 勿 淪為 少數 民粹 的 另 一 個 舞台 。	
情何以堪 。	LL	則 當初 鼓吹 還 權 於 民 者 情何以堪 。	
淪為	LL	淪為 少數 民粹 任意 馳騁 的 叢林 ，	
不當	LL	拒 當 不當 轉型 正義 的 幫凶 。	
濫	LL	濫情 換 絕情 ，	
民怨	LL	搞出 一 堆 民怨 ，	
淪為	LL	隱約 淪為 民粹 衝撞 的 新 場域 ，	
民怨	LL	而 這 一 類 的 民怨 ，	
污名 化	LL	轉型 正義 被 威權 附隨 們 污名 化為 清算 ，	
輕忽	LL	不可 輕忽 。	
困境	LL	陷入 父子 騎 馬 怎麼 都 受 路人 指點 的 困境 ，	
杯葛	LL	絕食 、 議事 杯葛 、 街頭 流竄 等 ，	
淪為	LL	終 將 淪為 一 齣 黑色 的 反諷劇 。	
困境	LL	關心 、 改善 彼等 的 困境 ，	
抹黑	LL	反而 充斥 著 抹黑 與 激情 訴求 ，	
惡果	LL	就是 典型 民粹 風氣 盛行 造成 的 惡果 。	
硬	LL	如今 卻 被 僵硬 的 法規 綁死 。	
危機	LL	解決 低薪 危機 ；	
矛盾	LL	何其 矛盾 之至 。	
悲哀	LL	悲哀 的 是 ，	
衝突	LL	再 加上 肢體 衝突 與 街頭 暴 走 ，	
淪為	LL	淪為 意氣 之 爭 ，	
矛盾	LL	彼此 之間 的 矛盾 ，	
恐怖	LL	往往 是 爆烈 、 恐怖 的 ，	
衝擊	LL	卻 會 衝擊 社會 穩定 與 秩序 ，	
困境	LL	唱 獨腳戲 的 困境 。	
背離	LL	就 背離 民主 機制 ，	
嚴重	LL	則 是 犯 了 「 左傾 幼稚病 」 的 嚴重 錯誤 ，	
淪為	LL	導致 嚴肅 抗爭 竟 淪為 笑柄 。	
可笑	LL	左傾 幼稚病 看似 可笑 ，	
困境	LL	使 台灣 陷入 空言 理想 卻 一事無成 的 困境 。	
圖謀	LL	而且 連 別有 圖謀 的 釘子戶 ，	
嚴重	LL	了解 少子 化 與 老齡化 日益 嚴重 ，	
失靈	LL	卻 在 策略 的 失靈 中 消耗 台灣 內部 的 能量 ，	
風險	LL	社論 》 急流 途中 折返 的 風險 更 大	
算計	LL	也許 他 在 宜蘭縣 選舉 有 其 算計 ，	
風險	LL	完全 執政 也 有 風險 ，	
崩盤	LL	到 崩盤式 的 失敗 ，	
困境	LL	帶領 台灣 走出 困境 ，	
衝突	LL	製造 社會 衝突 ；	
風險	LL	折返 的 風險 更 大 。	
霸凌	LL	而且 奢望 借助 中國 霸凌 台灣 的 蠻力 ，	
打壓	LL	以 打壓 台灣人民 意志 謀取 該 黨 高層 的 政商 利益 。	
灰頭土臉	LL	馬英九 執政 灰頭土臉 的 慘痛 教訓 ，	
危機	LL	泡沫 化 危機 更 無 救藥 。	
矛盾	LL	應該 有 調解 矛盾 的 能量 ，	
錯誤	LL	導致 對 台灣 內部 實情 的 認識 完全 錯誤 ，	
硬	LL	未必 能 給 管爺 硬 扣帽子 。	
淪為	LL	台大 有 可能 淪為 打 著 學術 旗幟 反 本土 政權 的 基地 。	
諷刺	LL	既是 台灣 民主 的 諷刺 ，	
危機	LL	也 是 台灣 民主 的 危機 。	
矛盾	LL	讓 台灣 內部 矛盾 往 敵我 矛盾 質變 ？	
放任	LL	不能 放任 傾 中 統派 勢力 盤踞 學術 山頭 ，	
封殺	LL	又 有 台灣 電影 遭到 中國 封殺 ，	
淪為	LL	台灣 藝人 淪為 新 的 檢查 或 統戰 標的 ，	
硬	LL	中國 的 軟 、 硬 、 銳 實力 大增 ，	
硬	LL	反獨 與 促統 會 雙管齊下 、 兩 手 都 硬 。	
危機	LL	更 重要 的 還是 朝野 官民 要 有 危機 意識 ，	
威脅	LL	老實說 對於 因應 中國 威脅 都 已經 很 吃力 了 ，	
譴責	LL	每 次 出現 個案 便 譴責 北京 ，	
硬	LL	中國 調動 軟 、 硬 、 銳 實力 加大 反 台獨 的 力度 ，	
風險	LL	便有 「 被 台獨 」 的 風險 ，	
反感	LL	一定 會 引起 台灣 人民 的 反感 ，	
暴力	LL	面對 中國 的 國家 暴力 ，	
霸凌	LL	堪稱 對 北京 霸凌 的 有力 反擊 ，	
併吞	LL	中國 要 併吞 台灣 ，	
併吞	LL	美國 從未 意圖 併吞 台灣 ，	
威脅	LL	由於 中國 對 台 威脅 與日俱增 ，	
威脅	LL	同時 也 威脅到 美國 的 國家 利益 與 盟友 安危 ，	
風險	LL	達到 控制 風險 、 擴大 獲益 的 管理 目標 ，	
恐怖	LL	讓 二三五○萬 人 免於 「 被 台獨 」 的 紅色 恐怖 。	
困境	LL	社論 》 選舉 困境 的 深思 檢討	
低迷	LL	當前 竟 瀰漫 無力 、 低迷 的 選舉 氛圍 ，	
蕩然無存	LL	昔日 大勝 的 風光 至今 蕩然無存 ，	
令 人 感嘆	LL	令 人 感嘆 。	
障礙	LL	包括 公教 年金 改革 、 促進 轉型 正義 、 降 稅 、 扶植 新創 產業 及 努力 解決 投資 五缺 障礙 等 ，	
混亂	LL	導致 社會 充斥 混亂 與 對立 景象 ，	
詬病	LL	施政 因而 備受 詬病 。	
淪為	LL	淪為 政客 操弄 的 工具 ；	
障礙	LL	因此 意欲 根本 鏟除 改革 障礙 ，	
困境	LL	必定 可以 逆轉 施政 困境 ，	
恐怖	LL	白色恐怖 上場 。	
覺醒	LL	有 台灣 人民 自我 覺醒 的 「 天然獨 」 ，	
封殺	LL	中國 的 文攻武嚇 、 繞 台 擾台 、 窮 台惠台 、 國際 封殺 ，	
封殺	LL	中國 正在 加緊 國際 封殺 台灣 ，	
威脅	LL	儘管 中國 正在 威脅 我國 ，	
霸凌	LL	但 中華民國 與 台獨 同 遭 北京 霸凌 ，	
濫	LL	那 又 何必 穿越 時空 濫用 「 五四 」 的 象徵 符號 呢 ？	
打壓	LL	打壓 學術 自由 ，	
威脅	LL	便是 針對 中國 威脅 、 併台 野心 。	
動盪	LL	他們 便 無所不用其極 地 反 政府 、 製造 社會 動盪 ，	
挺身而出	LL	挺身而出 「 挺 管 」 是 偶然 嗎 ？	
淪為	LL	否則 大學 自治 將 淪為 寡頭 學閥 的 保護傘 。	
矛盾	LL	善於 玩弄 台灣 內部 矛盾 的 北京 ，	
暴力	LL	以 暴力 製造 衝突 事件 ，	
嚴重	LL	日後 恐 將 證明 是 政治 上 的 嚴重 誤判 。	
憂慮	LL	我們 也 但願 此 一 憂慮 是 多餘 的 ，	
暴力	LL	只是 目睹 某些 陳抗 活動 暴力 升級 ，	
不當	LL	亦即 處理 不當 或 延宕 未 解 ，	
衝擊	LL	將 衝擊 美國 的 霸權 地位 與 國家 利益 之 際 ，	
錯誤	LL	他們 做 了 非常 錯誤 的 決定 。	
困境	LL	馬氏 意圖 將 民進黨 之所以 陷入 施政 困境 ，	
低迷	LL	小英 支持度 的 低迷 不振 ，	
向 中國 傾斜	LL	歸因於 未 向 中國 傾斜 ，	
揭露	LL	對 內 箝制 民眾 的 真面目 揭露 後 ，	
執迷不悟	LL	此 際 下台 之後 的 馬英九 猶 執迷不悟 ，	
可笑	LL	實在 可笑 。	
嚴重	LL	均 呈現 嚴重 的 傾斜 ，	
民怨	LL	乃 招惹 民怨 ，	
操控	LL	其 操控 介入 台灣 的 層面 ，	
伎倆	LL	那些 軍機艦 的 擾台 繞 台 伎倆 ，	
淪為	LL	台灣 將 淪為 中國 的 經濟 殖民地 ，	
障礙	LL	並 設置 貿易 障礙 保護 、 扶持 紅色 供應 鏈 。	
淪為	LL	絕大 多數 台灣 民眾 卻 淪為 經濟 邊緣人 ；	
矛盾	LL	矛盾 與 對立 更形 尖銳 ，	
陷阱	LL	若是 台灣 掉入 兩岸 服貿協定 的 陷阱 ，	
錯誤	LL	絕對 不 是 誤國 的 錯誤 決定 ，	
背離	LL	社論 》 唾棄 背離 常識 常理 的 政客	
併吞	LL	從不 掩飾 它 併吞 台灣 的 野心 ，	
威脅	LL	它 一再 威脅 「 武力 統一 」 ，	
恐嚇	LL	不斷 派出 軍機 船艦 繞行 恐嚇 ，	
操控	LL	扶植 操控 親 中 組織 及 個人 ，	
專制	LL	主張 把 民主台灣 推向 被 專制 中國 統一 者 ，	
卑躬屈膝	LL	再 經 馬英九 的 卑躬屈膝 ，	
破產	LL	顯 已 破產 。	
打壓	LL	台灣 人民 看到 這 幫 人 前 一陣子 在 中國 打壓 我國 時 ，	
嚴厲	LL	口氣 及 言辭 何其 尖刻 嚴厲 ，	
打壓	LL	把 蠻橫 恐嚇 打壓 歸咎 台灣 ，	
恐嚇	LL	恐嚇 台灣 及 周邊 國家 。	
併吞	LL	把 併吞 黑手 公然 伸到 台灣 ，	
束手無策	LL	我國 束手無策 ；	
併吞	LL	中國 首要 併吞 對象 的 台灣 ，	
硬	LL	完全 執政 的 民進黨 要 硬 起來 。	
失敗 的	LL	摧枯拉朽 執政 失敗 的 馬 政府 ，	
淪為	LL	國民黨 從 完全 執政 淪為 完全 在野 。	
困境	LL	小英 政府 陷入 困境 ，	
衝擊	LL	受 衝擊 者 似乎 是 綠 大於 藍 。	
矛盾	LL	北京 的 操盤 手 似乎 愈來愈 能 抓到 切入 台灣 內部 矛盾 的 突破 口 了 。	
威脅	LL	是否 會 在 威脅 利誘 之下 ，	
覺醒	LL	既 在 測試 公民 的 覺醒 程度 ，	
放任	LL	「 這 暴露 民進黨 有 些 人 一 邊 放任 縱容 台獨 分裂 行徑 ，	
專制	LL	認同 專制 中國 的 民族 主義 ，	
憂慮	LL	上述 的 邊緣人 不 值得 憂慮 ，	
專制	LL	更 不能 以 寬待 專制 中國 、 苛責 民主 台灣 的 雙重 標準 衡情 論理 ，	
矛盾	LL	屬於 內部 矛盾 。	
矛盾	LL	如果 將 內部 矛盾 性質 的 問題 ，	
矛盾	LL	用 敵我 矛盾 的 方式 來 處理 ，	
矛盾	LL	內部 矛盾 ，	
矛盾	LL	避免 質變 為 敵我 矛盾 ，	
陷阱	LL	否則 不啻 掉入 北京 「 以 商 圍 政 」 的 陷阱 。	
危機	LL	在 台灣 民主 的 危機 時刻 ，	
動盪	LL	兩 年 多 來 的 民主 動盪 ，	
濫	LL	民粹 主義 的 氾濫 ，	
憂慮	LL	讓 人 不得不 憂慮 一一二四 之後 ，	
陷阱	LL	以 創新 經濟 促使 台灣 走出 成長 陷阱 ，	
危機	LL	而是 台灣 民主 的 危機 再現 了 。	
錯誤	LL	即使 出現 了 錯誤 ，	
致命	LL	也 不會 是 致命性 的 錯誤 ，	
危機	LL	但 其 所 造成 的 不確定性 與 危機 ，	
風險	LL	也 是 更加 不可 承受 的 風險 。	
嚴峻	LL	局面 之 嚴峻 令 人 憂心 ，	
蹂躪	LL	台灣 民主 經過 此 番 蹂躪 ，	
覺醒	LL	期待 能夠 喚起 民眾 的 覺醒 ，	
衝擊	LL	衝擊 道德 與 民主 的 底線 ，	
