標記內容	宣傳手法	原句	
過氣	LL	此 次 則 是 過氣 老人 大 翻身 ，	
危機	LL	此 次 選舉 的 最 大 隱憂 乃是 民主 危機 的 浮現 。	
操控	LL	控訴 中國 的 黑手 操控 ，	
嚴重	LL	中國 是 二○一八年 侵犯 網路 自由 最 嚴重 的 國家 ，	
威脅	LL	中國 的 獨裁 模式 對 網路 的 自由 開放 構成 非常 大 的 威脅 ，	
霸凌	LL	網路 霸凌 蔚為 風潮 ，	
淪為	LL	選舉 淪為 庸俗 化 、 低俗 化 。	
淪為	LL	選舉 將 淪為 口水 、 作秀 、 造謠 之 大成 ，	
霸凌	LL	傅榆 遭 中國網 民 猛烈 的 網路 霸凌 ；	
譴責	LL	」 被 指 未 譴責 「 台獨 言論 」 ，	
肆	LL	受 中國 方面 大肆 抨擊 。	
封殺	LL	甚至 傳出 中共 中央 宣傳 部下 令 此後 封殺 金馬獎 。	
反感	LL	讓 台灣 人民 反感 的 是 ，	
對付	LL	北京 當局 對付 台灣 的 工作 ，	
淪為	LL	反倒 只 會 淪為 一 群 穿著 各 種 名牌 、 光鮮 亮麗 的 人 們 ，	
恐嚇	LL	尤其 是 東奧 正名 公投 的 恐嚇牌 奏效 ，	
食髓知味	LL	可能 讓 北京 食髓知味 。	
諷刺	LL	堪稱 是 民主 典範 的 莫大 諷刺 ！	
向 中國 靠攏	LL	如果 未來 台灣 向 中國 靠攏 ，	
民怨	LL	從 馬英九 到 蔡英文 在 經濟 民生 方面 都 成為 民怨 所 指 ，	
對付	LL	社論 》 中國 對付 台灣 的 下 一 步	
對付	LL	社論 》 中國 對付 台灣 的 下 一 步	
對付	LL	乃 趁勢 加緊 對付 台灣 的 攻勢 。	
對付	LL	宣布 對付 台灣 的 新 方略 。	
威脅	LL	廉價 而 更 具 威脅性 ，	
濫	LL	論壇 將 在 「 九二 共識 」 的 陳腔濫調 中 演出 ，	
有志一同	LL	他們 有志一同 ，	
失敗 的	LL	不但 是 已經 檢驗 而 失敗 的 幻想 ，	
困境	LL	也 是 造成 近年 台灣 政經 困境 的 根源 。	
執迷不悟	LL	國民黨人 總是 執迷不悟 。	
一廂情願	LL	是 不切實際 的 一廂情願 。	
對付	LL	加緊 對付 台灣 的 各 種 滲透 、 顛覆 、 打壓 ，	
嚴厲	LL	面對 嚴厲 挑戰 ，	
反擊	LL	台灣 人民 及 主政 者 準備好 因應 和 反擊 之 道 了 嗎 ？	
背離	LL	以免 走到 一 條 背離 國際 正向 力量 的 迷途 。	
陷阱	LL	捲入 中華 暴力 狂流 的 陷阱 而 自我 覆滅 ，	
專制	LL	連結 專制 中國 成為 邊疆 ，	
危機	LL	眼見 台灣 危機 當前 ，	
食髓知味	LL	面對 國民黨 趁 勝 追擊 、 北京 介入 台灣 選舉 食髓知味 ，	
併吞	LL	「 以 經 促統 」 是 中共 二十幾 年 以來 併吞 台灣 政策 的 重要 一 環 ，	
嚴重	LL	六三三 選舉 承諾 嚴重 跳票 。	
污名 化	LL	民進黨 的 改革 亦 全 被 污名 化 ，	
放任	LL	幾 可 說 採取 放任 的 態度 ，	
專制	LL	戰後 台灣 受盡 二二八 、 白色恐怖 及 專制 統治 摧殘 ，	
輕忽	LL	出自 對 台灣 歷史 的 輕忽 ，	
嚴重	LL	政治 方面 就 更 嚴重 ，	
謊言	LL	導致 謊言 、 偏見 、 仇恨 、 分裂 社會 、 侵蝕 共同 目標 ，	
併吞	LL	面對 亟欲 併吞 的 惡鄰 ，	
危機	LL	民主 台灣 會 有 致命 的 危機 。	
輕忽	LL	國人 不容 輕忽 的 重要 課題 。	
回 嗆	LL	中國 外交部 則 回 嗆 ，	
血腥	LL	換來 的卻 是 三 次 血腥 鎮壓 。	
敲詐	LL	北京 一向 用來 敲詐 美國 的 三 個 公報 ，	
霸凌	LL	美國 得以 透過 「 台灣 關係法 」 平衡 中國 霸凌 台灣 。	
諷刺	LL	諷刺 的 是 ，	
衝擊	LL	對 該 黨 形成 莫大 衝擊 。	
矛盾	LL	如果 內部 矛盾 無法 拆解 ，	
專制	LL	在 封建 、 專制 、 神權 統治 之下 ，	
專制	LL	但 歐威爾式 的 專制 技術 進步 更 快 ，	
諷刺	LL	真是 民主 典範 的 一 大 諷刺 。	
專制	LL	韓國 瑜 的 連結 專制 中國 發 大 財 ，	
專制	LL	中國 則 展現出 專制 升級 的 勢頭 ，	
反 民主 鬧劇	NCL	於 立法院 聯席 會議 演出 「 送 立法院 院會 存查 」 的 反 民主 鬧劇 ，	
「 感謝 辛勞 」	NCL	竟然 得到 行政院 「 感謝 辛勞 」 ，	
違法 總統	NCL	那麼 人民 就 必須 站出來 訓令 違法 總統 下台 。	
「 太陽餅 馬戲團 」	NCL	「 馬卡茸 總統 」 領導 的 「 太陽餅 馬戲團 」 ，	
「 馬卡茸 總統 」	NCL	「 馬卡茸 總統 」 領導 的 「 太陽餅 馬戲團 」 ，	
「 暴民 」	NCL	把 手無寸鐵 的 學生 抹黑 為 「 暴民 」 ，	
「 暴鎮 」	NCL	難怪 「 暴鎮 」 之後 ，	
這 個 「 自絕 於 國人 」 的 政府	NCL	都 被 這 個 「 自絕 於 國人 」 的 政府 冠上 無知 、 鎖國 、 不 理性 、 引起 不安 等 帽子 。	
共匪	NCL	經過 幾 年 跟 共匪 如膠似漆 ，	
「 中國 軍閥 鐵蹄 」	NCL	無疑 是 影射 蔣介石 的 「 中國 軍閥 鐵蹄 」 蹂躪 台灣 人民 。	
「 鐵蹄 」	NCL	「 鐵蹄 」 當然 更 壓 不 扁 玫瑰 ！	
「 鐵蹄 」	NCL	「 鐵蹄 」 當然 更 擋不住 大江東 流 ！	
「 暴鎮 」	NCL	這 場 流血 「 暴鎮 」 ，	
九 趴 總統	NCL	這 位 九 趴 總統 會不會 像 亞努科維奇 那樣 「 引 清兵 入關 」 。	
太陽 花 學子	NCL	老把戲 打 不 倒 太陽 花 學子	
九 趴 總統	NCL	九 趴 總統 至今 仍 執迷 不誤 、 一意孤行 。	
幫腔 幫閑 者	NCL	幫腔 幫閑 者 也 出動 ︰ 丁中江 在 電視 宣稱 ：	
「 現代 吳鳳 」	NCL	」 好個 「 現代 吳鳳 」 與 「 勇敢 婦人 」 ，	
「 勇敢 婦人 」	NCL	」 好個 「 現代 吳鳳 」 與 「 勇敢 婦人 」 ，	
醜 角色	NCL	盡 是 配合 演出 的 醜 角色 。	
黨 外 精英	NCL	為 配合 一網打盡 黨 外 精英 ，	
馬 黨國 老狗	NCL	馬 黨國 老狗 變 不 出新 把戲 ，	
「 懶人 包 」	NCL	自製 服貿 「 懶人 包 」 也 遭 打 臉 ，	
九 趴 總統	NCL	在 九 趴 總統 所 剩 任期 ，	
不 適格 不 適任 者	NCL	提名 那些 不 適格 不 適任 者 的 馬英九 ，	
老共	NCL	其 結果 就 會 跟 老共 的 「 奪島 」 沒有 兩樣 。	
中國黨	NCL	這 恐怕 是 國 共 兩 個 中國黨 始 料 所 未及 的 事 。	
列寧式 黨 機器	NCL	本錢 就 在於 列寧式 黨 機器 ，	
元凶	NCL	經貿 孤立 台灣 的 元凶 與 幫凶	
幫凶	NCL	經貿 孤立 台灣 的 元凶 與 幫凶	
元凶	NCL	中國 是 孤立 台灣 的 元凶 。	
「 今日 香港 」	NCL	台灣 不能 成為 「 今日 香港 」	
明日 台灣 」	NCL	就是 明日 台灣 」 。	
有識之士	NCL	有識之士 所 警告 的 「 今日 香港 ，	
明日 台灣 」	NCL	就是 明日 台灣 」 ，	
「 無能 領導 者 」	NCL	選出 歌星 甄妮 所 說 的 「 無能 領導 者 」 ，	
「 無 作為 」	NCL	阻擋 這 種 新 型態 的 「 無 作為 」 害 台 。	
未來 的 主子	NCL	彷彿 是 為 未來 的 主子 爭取 立功 表現 。	
把 國旗 收 起來 的 小 官 ，	NCL	把 國旗 收 起來 的 小 官 ，	
馬英九 們	NCL	馬英九 們 ，	
馬英九 們	NCL	也 是 即將 下台 的 馬英九 們 的 關鍵 時刻 。	
有 勝算 者	NCL	有 勝算 者 千萬 不能 被 可能 的 勝選 沖昏 了 頭 ，	
「 天龍國 」	NCL	洗去 「 天龍國 」 污名 ，	
「 公民 不 服從 運動 」	NCL	從 這 一 「 公民 不 服從 運動 」 相關 各 方 的 反應 看來 ，	
傾中 政策	NCL	傾中 政策 導致 利益 落入 政商 權貴 買辦 ，	
「 婉君 」	NCL	表面 上 雖 嘗試 向 「 婉君 」 靠攏 ，	
「 抓漏 大隊 」	NCL	並 成立 「 抓漏 大隊 」 ，	
老共	NCL	老共 想 進一步 「 向 下 扎根 」 ，	
老共	NCL	老共 卻 將 他 打入 黑 牢 ，	
老共	NCL	老共 總是 揮舞 民族 主義 的 大刀 橫衝直撞 ，	
馬英九 們	NCL	唯獨 台灣 的 馬英九 們 ，	
幫凶	NCL	也 淪為 中國 在 國際 製造 麻煩 的 幫凶 。	
「 中國 的 台北 」	NCL	否則 淪為 站 在 香港 旁邊 的 「 中國 的 台北 」 ，	
「 半 分 忠 」	NCL	立法院 不再 當 馬英九 的 「 半 分 忠 」 ，	
「 半 分 忠 」	NCL	一如 先前 的 服貿 「 半 分 忠 」 。	
緊身衣	NCL	都 必須 穿著 他 留下來 的 緊身衣 ，	
葬送 本土	NCL	連 變造 公文 的 伎倆 都 用上 了 ，	
傾中 政策	NCL	經過 四 年 傾中 政策 ，	
傾中 政策	NCL	傾中 政策 頻 出 ，	
紅頂 商人	NCL	唯有 紅頂 商人 獲得 暴利 ，	
共匪	NCL	過去 共匪 因為 渡江 的 兵力 沒有 部署 好 ，	
老共	NCL	老共 看準 馬英九 的 意識 形態 ，	
老共	NCL	如此 是 為了 跟 老共 搞 「 抗日 統一 戰線 」 ？	
老共	NCL	與 老共 愈 交流 ，	
共匪	NCL	卻 被 共匪 統戰 ，	
中國黨	NCL	國共 兩 個 中國黨 ，	
跛腳 總統	NCL	這 位 跛腳 總統 無能 也 無心 推動 內政 了 ，	
中國黨	NCL	中國黨 的 瞎掰 能力 ，	
一 中 流沙	NCL	把 台灣 與 二千三百萬 人 推向 「 一 中 流沙 」 ，	
「 看板 主席 」	NCL	朱立倫 淪為 「 看板 主席 」 ，	
「 非我族類	NCL	黨權 、 黨產 、 立委 提名 絕不 能 落入 「 非我族類 」 的 手 裡 。	
馬英九 們	NCL	馬英九 們 ，	
元凶	NCL	反而 成 了 炒作 房地產 的 元凶 。	
九 趴 總統	NCL	九 趴 總統 的 滿意度 竟然 還 那麼 高 ！	
護航 部隊	NCL	淪為 他 的 護航 部隊 。	
老共	NCL	甘 當 老共 的 馬前卒 ，	
馬前卒	NCL	甘 當 老共 的 馬前卒 ，	
老共	NCL	透過 老共 、 老美 強迫 蔡英文 吞下 他 過去 七 年 來 改變 過 的 「 現狀 」 。	
有識之士	NCL	「 本黨 」 的 有識之士 更 要 好好 想想 ：	
「 半 分 忠 」	NCL	想 用 「 半 分 忠 」 把 黑箱 漂白 ，	
「 懶人 包 」	NCL	他們 的 「 懶人 包 」 往往 就是 炸毀 謊言 世界 的 原子彈 。	
死硬派	NCL	以致 國民黨 極 可能 落入 死硬派 掌控 ，	
老共	NCL	而 老共 的 邦交國 ，	
有識之士	NCL	有識之士 早已 大聲 疾呼 ，	
民主 之 子	NCL	洗腦 「 民主 之 子 」 的 黑箱 課綱 ，	
施暴 者	NCL	「 暴政 集團 」 當然 不 承認 自己 是 施暴 者 ，	
暴政 集團	NCL	處心積慮 要 反擊 人民 的 「 暴政 集團 」 ，	
傾中 政策	NCL	以致 傾中 政策 宛如 在 沙灘 上 築 堡 ，	
沙灘 上 築 堡	NCL	以致 傾中 政策 宛如 在 沙灘 上 築 堡 ，	
紅頂 商人	NCL	號稱 「 兩岸 關係 六十 年 最好 」 、 八 年 來 任由 國共 高幹 、 紅頂 商人 杯觥 交錯 、 大搞 圈地 與 特許 的 馬 政府 ，	
「 溫水 煮 青蛙 」	NCL	中國 對付 台灣 採取 「 溫水 煮 青蛙 」 策略 ，	
幫凶	NCL	就是 為 中國 向 台灣 社會 提供 柴火 、 增添 溫水 的 幫凶 。	
「 馬式 獨裁 」	NCL	「 馬式 獨裁 」 還 有 多少 黑箱 正在 進行 ？	
斯德哥爾摩 症候群	NCL	他們 都 犯 了 嚴重 的 斯德哥爾摩 症候群 ︰ 犯罪 的 被害 者 對於 加害 者 產生 情感 ，	
橡皮 圖章	NCL	以致 淪為 橡皮 圖章 。	
老共	NCL	讓 老共 已 能 入 島 入戶入 心 ，	
傾中 政策	NCL	傾中 政策 「 要 正常 往 前 走 」 ，	
「 鐵票 」	NCL	連 所謂 的 「 鐵票 」 都 反感 ，	
有識之士	NCL	有識之士 近日 提出 「 總統 大選 第二 天 ，	
老共	NCL	懂得 利用 老共 的 狂妄 來 牟利 ，	
老共	NCL	在 老共 的 定義 就是 「 獨 」 。	
老共	NCL	對 老共 而 言 ，	
老共	NCL	老共 讓 某些 人 在 台灣 內銷 「 各表 」 ，	
老共	NCL	也 顯示 老共 對 「 台獨 」 的 尺度 ，	
老共	NCL	老共 面前 撤旗 、 老共 背後 搖旗 ，	
傾中 政策	NCL	傾中 政策 獨厚 跨海 政商 集團 。	
「 半 分 忠 」	NCL	國民黨 上 屆 立委 在 此 法案 的 「 半 分 忠 」 醜陋 演出 ，	
「 一 條 龍 」	NCL	中國 方面 採 「 一 條 龍 」 經營 模式 ，	
有識之士	NCL	有識之士 還 上網 搜尋 ，	
九 趴 總統	NCL	終而 光環 盡失 淪為 九 趴 總統 ，	
無能	NCL	國際 媒體 則 將 他 定位為 「 無能 」 。	
招牌	NCL	而 這 個 招牌 已 因 林益世 、 賴素 如 嚴重 掉漆 了 。	
台灣 玫瑰	NCL	輕忽 耕耘 自己 家園 的 台灣 玫瑰 ，	
九 趴 總統	NCL	高票 當選 也 會 淪為 「 九 趴 總統 」 ，	
中國黨	NCL	只 會 讓 這 個 中國黨 進一步 走向 敗亡 。	
鳥籠 公投	NCL	鳥籠 公投法 、 修憲 獨厚 兩 大 黨 ，	
大 悶 鍋	NCL	長期 漠視 民意 也 是 民怨 發酵 的 大 悶 鍋 。	
有識之士	NCL	見 諸 有識之士 建言 ；	
傾中 政策	NCL	傾中 政策 導致 台灣 經濟 慢性病 ，	
老共	NCL	連 老共 也 視 之 為 爛泥 。	
有識之士	NCL	吾人 也 期盼 國民黨 有識之士 ，	
傾中 政策	NCL	傾中 政策 火力 全開 ，	
有識之士	NCL	亦 難免 令 台 派 有識之士 背脊 為之 一 涼 。	
「 半 分 忠 」	NCL	服貿 協議 當時 已 在 立院 經 「 半 分 忠 」 完成 委員會 審查 ，	
共匪	NCL	國民黨 灌輸 的 「 萬惡 共匪 」 ，	
中國黨	NCL	這 兩 個 中國黨 ，	
鳥籠 公投	NCL	則 不僅 打破 鳥籠 公投 的 意義 黯然失色 ，	
馬英九 們	NCL	馬英九 們 以 民主 選舉 獲得 政權 ，	
「 一 條 龍 」	NCL	中國 團 客 還是 「 一 條 龍 」 經營 模式 下 的 產物 ，	
有識之士	NCL	但 台灣 的 有識之士 早已 從 國際 潮流 趨勢 著眼 ，	
有識之士	NCL	有識之士 將 扼腕 不已 。	
是否 如 國民 黨團 宣稱 的 「 視為 已 審查 」 ？	PS	是否 如 國民 黨團 宣稱 的 「 視為 已 審查 」 ？	
不顧	PS	徹底 不顧 程序 正義 的 多數 暴力 ，	
竟	PS	竟 開放 了 一些 不 該 開放 的 項目 給 中國 ，	
竟	PS	或 不 該 開放 竟 開放 、 該 爭取 未 爭取 ，	
誰 會 看 不 懂 、 想 不 清楚 ？	PS	誰 會 看 不 懂 、 想 不 清楚 ？	
竟然	PS	竟然 得到 行政院 「 感謝 辛勞 」 ，	
竟	PS	台獨 因此 竟 與 共產黨 畫上 等號 。	
台灣 經濟 會 愈 拚 愈 倒退 嗎 ？	PS	台灣 經濟 會 愈 拚 愈 倒退 嗎 ？	
實質 薪資 所得 會 愈 拚 愈 回去 嗎 ？	PS	實質 薪資 所得 會 愈 拚 愈 回去 嗎 ？	
貧富 差距 會 持續 擴大 嗎 ？	PS	貧富 差距 會 持續 擴大 嗎 ？	
滿意度 會 一路 滑到 九 趴 嗎 ？	PS	滿意度 會 一路 滑到 九 趴 嗎 ？	
這 叫 甚麼 ？	PS	這 叫 甚麼 ？	
馬英九 不 也 是 如此 心態 嗎 ？	PS	馬英九 不 也 是 如此 心態 嗎 ？	
竟	PS	竟 僅 遭 判刑 一 年 兩 個 月 定讞 ，	
竟然	PS	竟然 尚未 改善 軍 中 人權 ，	
竟然	PS	竟然 使用 「 報告 長官 」 的 措辭 ；	
竟然	PS	竟然 先 知會 中國 國台辦 。	
武官 還 怕 甚麼 ？	PS	武官 還 怕 甚麼 ？	
竟然	PS	竟然 把 國際 參與 議題 ，	
難道 該 黨 對 民意 風向 已經 遲鈍 至 此 ？	PS	難道 該 黨 對 民意 風向 已經 遲鈍 至 此 ？	
竟	PS	國防 整備 竟 成 軍官 的 社交 工具 ，	
竟	PS	竟 以 馬英九 的 「 政治 正確 」 為 標準 ，	
竟	PS	無非 是 要 確保 「 化獨 漸 統 」 克 竟 其 功 。	
竟然	PS	某 課綱 委員 竟然 主張 ：	
竟	PS	銓敘部 竟 稱 有 請假 所以 不 違法 ，	
竟	PS	至於 遺憾 未 竟 之 處 ，	
竟	PS	竟 有 國策 顧問 為 主子 塗脂抹粉 說 ：	
竟	PS	竟 大言不慚 「 我 晚上 都 睡 得 很 好 」 。	
竟	PS	竟 當上 總統 。	
是 不 是 可以 拿來 癱瘓 二○一六 選出 的 民選 政府 ？	PS	是 不 是 可以 拿來 癱瘓 二○一六 選出 的 民選 政府 ？	
竟然	PS	他 竟然 在 大選 敏感 時期 奢談 ：	
竟然	PS	竟然 只 能 靠 台聯 三 席 立委 衝上去 佔領 議場 主席台 ，	
竟	PS	太陽花 要 竟 其 功 ，	
豈不 諷刺 至極 ？	PS	豈不 諷刺 至極 ？	我看完了，標紅色的幫我再看一次，問句我看不出來是DS, PS or BWF. 人鳳說BW 是band wagon, BWF 是 black and white fallacy. 
竟	PS	柯文哲 竟 稱 「 不要 把 國軍 打 趴 ，	
竟	PS	竟 在 政爭 落敗 ，	
竟然	PS	北京 政權 竟然 動用 武裝 部隊 ，	
竟	PS	竟 非 純 屬 虛構 。	
竟然	PS	竟然 將 自己 型 塑成 勞工 代言人 ，	
竟	PS	正 無所不用其極 地 阻擋 台灣 走完 歷史 未 竟 之 路 。	
竟	PS	他們 竟 麻木不仁 到 怪罪 本 國 政府 。	
竟然	PS	而 馬 前 政府 竟然 認為 如此 的 傾斜度 猶然 不足 ，	
竟然	PS	內外 形象 竟然 如此 懸殊 ，	
竟然	PS	竟然 可以 藉由 國民黨 完全 執政 的 優勢 ，	
竟然	PS	選民 竟然 是 在 缺乏 深思熟慮 的 情況 下 投票 ，	
竟	PS	問鼎 大 位 者 竟 振振有詞 。	
答案 當然 是 否定 的	TTC	答案 當然 是 否定 的 ，	
自不待言 。	TTC	自不待言 。	
不 誠 無物	TTC	不 誠 無物 ，	
眾所周知 ，	TTC	眾所周知 ，	
眾所周知 ，	TTC	眾所周知 ，	
不 誠 無物	TTC	不 誠 無物 ，	
必須	X	國民黨 立院 黨團 承 命 在 國會 撕毀 朝野 協商 達成 必須 逐條 審查 、 逐條 表決 的 共識 ，	
盜取	X	將 衍生 我國 人民 個 資 被 盜取 ，	
威脅	X	我方 資訊 安全 受 威脅 的 風險 。	
不當	X	如果 人民 還 不當 順民 ，	
必須	X	必須 透過 北京 ；	
國安	X	由於 他 被 以 違反 「 國安法 」 起訴 判刑 ，	
不當	X	若 不當 一 回 事 嚴肅 以 對 ，	
「 改變成 真 」	X	社論 》 太陽花 開啟 了 「 改變成 真 」 新 境界	
竟	X	要 克 竟 其 功 ，	
必須	X	必須 與 全球 連結 ，	
杯葛	X	最近 在 立法院 院會 又 上演 闖關 、 杯葛 、 棄守 、 反制 的 戲碼 ，	
無能	X	體制 綑綁 令 大人 無能為力 之 際 ，	
害 台	X	洪秀柱 指摘 「 分離 主義 」 從 安全 、 鎖國 、 經濟 、 社會 危害 台灣 ，	
恐怖	X	有 一 個 飽受 白色恐怖 之 害 的 父親 ，	
恐怖	X	壓縮 白色恐怖 的 史實 。	
奮起	X	兩百多 所 學校 學生 奮起 響應 ，	
清新	X	也 為 年輕 一 代 清新 有為 喜 ，	
奮起	X	更 應 積極 支持 聲援 高中 學生 奮起 ，	
失敗 的	X	想要 「 遵循 」 的 朱立倫 、 洪秀柱 也 註定 要 失敗 的 。	
剝奪	X	這 種 相對 剝奪感 也 是 近在眼前 的 陰影 。	
風險	X	還要 加強 對 經濟 合作 、 項目 批 審 的 廉政 風險 控管 。	
奮起	X	去年 春季 終 導致 青年 世代 奮起 ，	
撐腰	X	這 位 自稱 有 十三億 人 撐腰 的 藝人 ，	
硬	X	但 不論 軟硬體 建設 都 存在 諸多 力求 改進 之 處 。	
硬	X	以 硬體 來 說 ，	
奮起	X	包括 二○○八年 的 「 人民 奮起 ，	
危機	X	所以 桃機 因 雨 癱瘓 務必 火速 拆解 危機 ，	
硬	X	硬 實力 早 就 不可 同日而語 ，	
傾中 政策	X	傾中 政策 誤國 誤民 ，	
恐怖	X	二二八 、 白色恐怖 冤魂 何辜 ？	
主權	X	一九九七 香港 主權 移交 至今 ，	
主權	X	主權 移交 後 北京 拒絕 直通 車 另 起 爐灶 ，	
害 台	X	才 使 國共 兩 個 中國黨 聯手 禍害 台灣 至今 。	
國安	X	國安 團隊 宜 有 劇本 分析 ，	
國安	X	有賴 國安 推演 見招拆招 。	
危機	X	中國 製造 飛彈 危機 ，	
硬	X	但 洪秀柱 硬是 不理 ，	
硬	X	習近平 對 台 似乎 只 硬 不 軟 了 ，	
民調	X	圍爐 前夕 的 某 項 民調 顯示 ，	
民調	X	便 從 六八九萬 票 陷入 民調 跌 多 漲 少 的 泥沼 ，	
民調	X	而 根據 近年 的 總統 民調 經驗 ，	
民調	X	政治 人物 要 避免 民調 低落 固態 化 ，	
民調	X	剛 當選 的 銳氣 也 被 民調 硬是 拉 了 下來 。	
暴力	X	強調 「 絕對 不能 放任 以 暴力 來 拖延 改革 的 腳步 」 ；	
硬	X	習近平 可能 會 迷信 以 力 服人 的 「 硬 道理 」 。	
暴力	X	藍 綠 難得 一致 譴責 暴力 行為 ，	
國安	X	是 台灣 國安 未曾 遭逢 的 另 類 挑戰 ，	
硬	X	仍 是 硬 道理 。	
害 台	X	長期 以來 毒害 台灣 經濟 ，	
硬	X	乃是 一 場 扎扎實實 的 硬仗 。	
硬	X	乃 修出 「 一 例 一休 」 硬性 規定 之類 的 怪胎 。	
民調	X	民調 也好 ，	
覺醒	X	喚起 國人 的 覺醒 ，	
國安	X	「 完全 執政 」 的 民進黨 政府 、 國安 單位 對 中國 之 步步 入侵 諱莫如深 ，	
國家 安全	X	反 併吞法 、 反 滲透法 、 資 安法 、 國家 安全 查核 制度 、 科技 保護法 、 國家 機密 保護法 、 國家 安全法 、 兩岸 人民 關係 條例 等 該 立法 的 要 立法 、 該 加強 的 要 加強 、 該 修 的 即 修 ，	
主權	X	在 香港 主權 移交 中國 二十二週年 前夕 ，	
主權	X	中國 恢復 對 香港 行使 主權 ，	
主權	X	只是 包裝 取得 西藏 、 香港 主權 的 糖衣 ，	
矛盾	X	正 是 擺脫 路線 矛盾 的 三贏 上策 。	