標記內容	宣傳手法	原句
嚴 長壽	ATA	但 若 能 聽 一 聽 許多 堪稱 「 台灣 社會 良心 」 的 意見 領袖 如 彭淮南 、 施振榮 、 嚴 長壽 、 童子 賢 等 的 談話 ，
彭淮南	ATA	但 若 能 聽 一 聽 許多 堪稱 「 台灣 社會 良心 」 的 意見 領袖 如 彭淮南 、 施振榮 、 嚴 長壽 、 童子 賢 等 的 談話 ，
施振榮	ATA	但 若 能 聽 一 聽 許多 堪稱 「 台灣 社會 良心 」 的 意見 領袖 如 彭淮南 、 施振榮 、 嚴 長壽 、 童子 賢 等 的 談話 ，
童子賢	ATA	但 若 能 聽 一 聽 許多 堪稱 「 台灣 社會 良心 」 的 意見 領袖 如 彭淮南 、 施振榮 、 嚴 長壽 、 童子 賢 等 的 談話 ，
最 厲 的 鬼魅	ATF	這 半 年 多 來 折磨 黃世銘 最 厲 的 鬼魅 ，
邊緣化	ATF	台灣 的 政經 地位 勢必 更 邊緣化 ，
附庸 化	ATF	則 台灣 和 大陸 的 關係 就 可能 更 趨向 衛星 化 或 附庸 化 。
「 害台	ATF	卻 不無 可能 造成 「 害台 禍台 」 的 後果 。
禍台	ATF	卻 不無 可能 造成 「 害台 禍台 」 的 後果 。
邊緣化	ATF	無論 在 區域 經濟 或 國際 政治 上將 更 趨 邊緣化 ；
邊緣化	ATF	而 邊緣化 的 結果 ，
害台	ATF	即 不會 不 知 這 種 「 反中 抗中 變成 害台 禍台 」 的 弔詭 ；
禍台 」	ATF	即 不會 不 知 這 種 「 反中 抗中 變成 害台 禍台 」 的 弔詭 ；
禍台 」	ATF	彼等 皆 明明 知道 這 是 將 台灣 帶上 「 反中 抗中 變成 害台 禍台 」 的 絕路 。
「 害台	ATF	即 不無 可能 出現 無以 逆轉 的 「 害台 禍台 」 的 後果 。
禍台	ATF	即 不無 可能 出現 無以 逆轉 的 「 害台 禍台 」 的 後果 。
絕路	ATF	卻 仍 要 將 台灣 帶上 絕路 ？
民主 倒退	ATF	抗爭 者 更 應該 思考 如何 避免 以 反 民主 的 手段 造成 民主 倒退 的 危機 。
邊緣化	ATF	整 個 國家 亦 告 邊緣化 ；
邊緣化	ATF	當 台灣 因 全球化 而 被 徹底 邊緣化 後 ，
邊緣化	ATF	當 台灣 在 全球化 中 被 邊緣化 後 ，
邊緣化	ATF	同時 也 讓 民進黨 的 反對 角色 淪為 邊緣化 。
邊緣化	ATF	避免 經濟 遭到 邊緣化 ；
邊緣化	ATF	卻 儼然 被 邊緣化 。
邊緣化	ATF	話題 涉及 二○一六年 後 的 兩岸 可能 情勢 及 台灣 經貿 邊緣化 等 方面 ，
絕路	ATF	也 是 將 台灣 送上 絕路 。
絕路	ATF	這 種 井底之蛙 自尋 絕路 的 國策 主張 ，
邊緣化	ATF	更 未 計入 經貿 安全 邊緣化 帶動 的 政治 安全 邊緣化 。
邊緣化	ATF	更 未 計入 經貿 安全 邊緣化 帶動 的 政治 安全 邊緣化 。
「 害台	ATF	以致 將 「 反 中 」 操弄 成 「 害台 」 、 「 反 台 」 。
「 害台	ATF	這 豈不是 「 害台 ╱ 反 台 」 的 冷血 政策 ？
邊緣化	ATF	不但 會 使 台灣 在 世界 政經 情勢 中 更 趨 邊緣化 ，
邊緣化	ATF	亦 將 使 民進黨 在 兩岸 博弈 中 更加 邊緣化 ，
邊緣化	ATF	而 邊緣化 將 使 民進黨 不易 通過 二 〇 一六 的 總統 大選 ，
「 害台	ATF	還是 民進黨 的 杯葛 戰術 將 導致 「 害台 」 ，
邊緣化	ATF	但 在 全球化 當道 、 中國 崛起 及 台灣 邊緣化 的 走勢 下 ，
邊緣化	ATF	或 台獨 反而 將 使 台灣 邊緣化 而 經濟 更 陷 困境 ？
邊緣化	ATF	台灣 才 不會 因 抗拒 面對 中國 而 遭到 世界 邊緣化 。
邊緣化	ATF	蔡英文 竟 任令 其 教育部 推出 將 中國史 邊緣化 的 歷史課 綱 ，
這 不 是 民進黨 的 「 私有化 」 是 什麼 ？	BW	這 不 是 民進黨 的 「 私有化 」 是 什麼 ？
絕不	BW	音量 絕不 稍 遜 ，
不可能 靠 著 街頭 抗議 或 國際 鎂光燈 解決	BW	畢竟 不可能 靠 著 街頭 抗議 或 國際 鎂光燈 解決 ，
這 個 國家 豈不 注定 要 在 想像 與 現實 的 兩極 間 自我 拉扯 ？	BW	這 個 國家 豈不 注定 要 在 想像 與 現實 的 兩極 間 自我 拉扯 ？
學生 的 要求 是 畫蛇添足 還是 無理 找碴 ？	BW	學生 的 要求 是 畫蛇添足 還是 無理 找碴 ？
絕不	BW	絕不 能 當成 行政 層次 的 事務 處理 。
抗中 或 害台 ？	BW	抗中 或 害台 ？
沒有 任何 國家 能 容許	BW	沒有 任何 國家 能 容許 群眾 闖入 政府 機關 ，
絕不	BW	不 達 目的 絕不 罷休 。
完全 是 朝野 立委 爾虞我詐 、 機關 算 盡 的 結果 。	BW	完全 是 朝野 立委 爾虞我詐 、 機關 算 盡 的 結果 。
絕不	BW	這 絕不 是 因為 民進黨 沒有 堅持 《 台獨 黨綱 》 的 「 自由 」 ，
絕無 可能	BW	但 絕無 可能 阻擋 全球化 。
絕不	BW	街頭 運動 絕不 是 民主 的 時髦 活動 ，
絕不	BW	也 絕不 可能 說服 台灣 人民 ，
絕不	BW	絕不 服從 ；
絕不	BW	這 絕不 是 此 一 事件 的 「 天然 成分 」 ，
絕不	BW	這 絕不 是 「 天然 成分 」 ，
絕不	BW	而 它 絕不 僅 是 一 項 「 經濟 議題 」 ，
絕不	BW	絕不 鬆懈 ，
絕不	BW	絕不 能 不智 地 只 為 偶然 因素 即 捲入 戰爭 ，
必須	BW	她 必須 斬釘截鐵 地 說 「 贊成 與否 」 。
必須	BW	蔡英文 必須 對 九二 共識 作出 回應 ，
必須	BW	也 就是 必須 對 是否 維持 台獨路 線 作 一 交代 。
必須	BW	北京 必須 承認 ，
必須	BW	九二 共識 必須 從 「 反對 台獨 」 的 負向 思考 ，
必須	BW	也 就 不必 堅持 她 必須 說出 「 九二 共識 」 四 個 字 。
必須	BW	二 、 必須 說出 「 九二 共識 」 四 個 字 ，
必須	BW	三 、 必須 說出 「 九二 共識 」 四 個 字 ，
必須	BW	就 必須 引導 民進黨 回到 中華民國 及 中華民國 憲法 ；
必須	BW	他 必須 盡快 採取 主動 作為 ，
必須	BW	習近平 必須 認真 思考 更 艱鉅 的 「 心靈 契合 」 工程 。
必須	BW	蔡英文 必須 誠實 回歸 中華民國 與 九二 共識 的 政治 基礎 。
絕不	BW	它 絕不 能 無動於衷 。
絕不	BW	那麼 國會 的 制衡 絕不 能 棄守 。
絕不	BW	絕不 能 步上 貴格會 的 後塵 。
絕不	BW	絕不 容許 「 占領 」 公署 ，
絕不	BW	絕不 應 只是 一味 設法 討好 學生 ，
絕不	BW	絕不 能 像 林 全 處理 太陽 花撤 告 ，
絕不	BW	絕不 可能 寫出 這樣 的 判決書 來 。
絕不	BW	軍人 出身 的 郝柏村 雖 稱 「 陸軍 是 我們 最後 一 張 王牌 」 絕不 能 裁 ，
絕不	BW	絕不 寬貸 。
絕不	BW	祕訣 絕不 在 一味 否定 對手 ，
必須	DS	那 是 他 必須 接受 的 另 一 種 社會 審判 。
必須	DS	必須 藉由 ＥＣＦＡ 進一步 擴大 改善 台灣 的 國際 政經 關係 。
必須	DS	台灣 必須 「 由 中國 走向 世界 」 ，
必須	DS	台灣 必須 對 與 大陸 的 經濟 連結 有所 警覺 ，
必須	DS	去年 有 三百萬 烏克蘭 人 必須 赴 俄 謀生 ，
必須	DS	也 是 他 必須 調整 的 領導 思維 。
必須	DS	馬英九 、 江宜樺 必須 懂得 召喚 「 沉默 的 多數 」 ，
必須	DS	這 也 是 必須 付出 的 代價 。
必須	DS	必須 花 更多 的 時間 進行 溝通 ，
必須	DS	反對 者 亦 必須 省思 ，
必須	DS	必須 務實 調整 ，
必須	DS	但 持續 兩 周 的 學運 必須 設法 擺脫 「 以 民主 之 名 妨害 民主 」 的 矛盾 ，
必須	DS	二 是 「 兩岸 協議 監督 條例 」 必須 先 完成 立法 再 審 服貿 ，
必須	DS	學生 要求 所有 朝野 立委 必須 簽名 同意 「 先 立法 再 審查 」 ，
必須	DS	必須 由 公民 團體 和 學生 為 主體 來 籌備 與 召開 「 公民 憲政 會議 」 ，
必須	DS	「 體現 民意 」 必須 經由 國會 的 多數 決 程序 ，
必須	DS	必須 建立 一 足以 支撐 兩岸 互信 的 新 架構 。
必須	DS	更 必須 贏得 全球化 的 挑戰 。
必須	DS	台灣 必須 選擇 「 迎 對 」 或 「 退卻 」 。
必須	DS	當然 也 是 把 台灣 帶入 困境 的 政治 人物 必須 反省 的 課題 。
必須	DS	必須 認真 區分 「 言論 自由 」 與 「 正確 的 國家 生存 戰略 的 選項 」 之間 的 區別 ；
必須	DS	而是 必須 思考 「 台獨 」 是否 為 「 正確 的 國家 生存 戰略 」 。
必須	DS	她 必須 接收 學運 的 強烈 反中 主張 。
必須	DS	但 任何 有 責任感 的 政府 都 必須 積極 回應 ，
必須	DS	必須 讓 台灣 社會 領悟 「 愈 『 中華 』 ，
必須	DS	所以 台獨 必須 反 全球化 ） 不可能 具有 撐持 福利 國家 的 社經 實力 ；
必須	DS	而 警方 還 必須 站 在 門 外 幫 他們 維護 安全 ？
必須	DS	都 必須 做出 選擇 。
必須	DS	必須 向 「 分配 正義 」 的 軸線 修正 ，
必須	DS	台灣 近年 欲 進 不 前 的 困局 必須 打破 ，
必須	DS	但 必須 提醒 的 是 ，
必須	DS	必須 對 兩岸 問題 提出 大開 大闔 的 新 架構 。
必須	DS	第一 個 必須 回答 的 問題 是 ：
必須	DS	兩岸 必須 先 確立 中華民國 在 「 大屋頂 」 下 的 定位 ，
必須	DS	導致 民眾 必須 上街 抗爭 ，
必須	DS	台灣 注意到 了 產業 必須 轉型 的 迫切性 ；
必須	DS	甚至 強迫 中立 或 持 保留 看法 的 人 必須 表態 選 邊 ，
必須	DS	是 所有 人民 必須 容忍 且 共同 承受 的 代價 。
必須	DS	而 必須 了解 鄭捷 的 心 裡 究竟 潛藏 著 什麼 樣 的 仇恨 幻想 ，
必須	DS	她 必須 一一 處理 這些 形象 損傷 、 戰略 矛盾 、 和 路線 倒退 的 問題 ，
必須	DS	卻 是 她 自己 和 民進黨 必須 誠實 並 懇切 檢視 的 問題 。
必須	DS	卻 也 必須 面臨 國家 司法 的 偵審 和 追訴 。
必須	DS	有效 的 司法 偵辦 必須 要 解答 學運 引發 的 這 類 基本 疑惑 。
必須	DS	使 她 必須 有 強勢 操作 的 表現 ；
必須	DS	但 民進黨 必須 與 北京 和解 的 壓力 ，
必須	DS	太陽花 逼使 蔡英文 在 服貿協議 及 自由 經濟 示範區 上 必須 「 反中 」 ，
必須	DS	但 張志軍 的 來訪 卻 又 迫使 蔡英文 必須 作 「 和 中 」 的 表態 。
必須	DS	都 是 必須 檢討 的 事 。
必須	DS	是 分寸 的 拿捏 與 事 前 的 規劃 必須 周密 ，
必須	DS	有 兩 項 因素 使 政府 必須 採取 驅離 行動 ：
必須	DS	警方 可能 必須 出動 防暴 部隊 、 祭出 催淚彈 等 來 驅散 人群 ，
必須	DS	陸美 雙方 皆 論及 必須 探尋 拉近 海峽 兩岸 關係 的 新語詞 （ terminology ） 與 新概念 （ concepts ） 。
必須	DS	而 必須 把 台灣 人民 放 在 眼 裡 。
必須	DS	而 必須 經 黨員 代表 大會 的 民主 程序 為之 ；
必須	DS	她 既 可 藉 「 黨 內 民主 」 的 名義 主張 必須 尊重 黨 內 對 「 是否 凍獨 」 的 充分 討論 ；
必須	DS	必須 有 能力 以 「 黨 內 民主 」 來 化解 台獨 在 黨 內 的 最後 一 場 蝸角 之 爭 ，
必須	DS	蔡英文 必須 面對 世局 國情 的 真相 。
必須	DS	實際 上 必須 辨明 這 是否 一 個 政治 騙案 。
必須	DS	國人 必須 重視 太陽花 多數 青年 群眾 對 「 台灣 意識 」 的 護持 ，
必須	DS	即 必須 「 調整 」 台獨 立場 ；
必須	DS	而 在 必須 調整 台獨 路線 ；
必須	DS	而是 民進黨 在 壓力 下 必須 「 朝 中國 的 方向 去 調整 」 。
必須	DS	馬 政府 必須 亡羊補牢 。
必須	DS	蔡英文 必須 深切 認知 ：
必須	DS	但 蔡英文 也 必須 自問 ：
必須	DS	必須 建築 在 資訊 的 揭露 分享 之上 ，
必須	DS	為什麼 《 貨 貿協議 》 必須 同步 進行 ，
必須	DS	必須 逐步 推進 ，
必須	DS	有時 卻 必須 作出 取捨 與 抉擇 。
必須	DS	必須 透過 對話 和 討論 來 完成 ，
必須	DS	但 當 民進黨 內 的 「 大人 們 」 警覺 台獨 路線 必須 調整 之 時 ，
必須	DS	更 必須 提出 能 讓 兩岸 民眾 放心 的 政策 綱領 。
必須	DS	外銷 產業 除 必須 接受 上下游 廠商 的 品管 ，
必須	DS	同時 必須 通過 出口國 的 行政 規範 ；
必須	DS	廠商 必須 力求 精準 ，
必須	DS	必須 審慎 拿捏 。
必須	DS	民進黨 必須 戒慎 恐懼 ，
必須	DS	兩岸 必須 重塑 氛圍 並 調整 對話 模式 ，
必須	DS	即 必須 在 任內 完成 一 個 「 超越 藍綠 ╱ 無可 回逆 」 的 兩岸 布建 ；
必須	DS	也 必須 布建 一 個 「 超越 藍綠 ╱ 無可 回逆 」 的 兩岸 架構 ，
必須	DS	則 必須 期待 明日 王張會 宣示 共同 決志 ；
必須	DS	北京 應 深知 必須 面對 全體 台灣 民眾 ，
必須	DS	則 是 反對 普天間 基地 遷移 、 力主 美軍 基地 必須 撤離 沖繩 本島 的 要角 。
必須	DS	必須 儘速 收拾 心情 改組 政府 和 政黨 ；
必須	DS	總統 必須 潛心 扮演 國家 領導 角色 ，
必須	DS	柯文哲 必須 將 「 超越 藍綠 」 這 個 初衷 逐一 注入 他 的 施政 ，
必須	DS	這 當然 也 是 國民黨 必須 警惕 的 事 。
必須	DS	他 必須 意識到 ，
必須	DS	政府 必須 正視 價值 與 實踐 的 世代 遷移 ，
必須	DS	或者 是 國家 資源 分配 制度 必須 重新 調整 ，
必須	DS	這 是 年輕 世代 必須 認清 的 方向 。
必須	DS	台灣 必須 能 「 以 民主 建立 政績 」 ，
必須	DS	我們 必須 證明 ：
必須	DS	二 、 台北 與 上海 的 城市 交流 亦 必須 依循 「 九二 共識 」 ；
必須	DS	若 至 必須 直接 表態 「 反 台獨 」 ，
必須	DS	蔡英文 必須 把 這 句 話 再 說 一 遍 ，
必須	DS	那麼 我們 就 必須 問 ：
必須	DS	且 必須 儘速 著手 ，
必須	DS	更 必須 在 思維 、 心態 及 經營 上 都 要 有所 轉變 。
必須	DS	朱立倫 必須 鼓勵 大家 跟 他 一起 動 腦 ，
必須	DS	民進黨 必須 正視 兩岸 和平 框架 崩解 的 警告
必須	DS	直接 發出 民進黨 必須 面對 「 兩岸 和平 框架 崩解 」 的 警告 。
必須	DS	民進黨 必須 正視 兩岸 和平 框架 將 面臨 崩解 危機 。
必須	DS	民進黨 必須 調整 ，
必須	DS	蔡英文 必須 拿出 其 所謂 「 中國 會 朝 民進黨 的 方向 調整 」 的 根據 所在 。
必須	DS	更 必須 避免 一旦 再 執政 ，
必須	DS	必須 慎重 安排 總統 與 政府 在 會 中 的 角色 。
必須	DS	但 也 必須 照顧 政府 、 政黨 與 社團 的 代表性 ；
必須	DS	社會 公平 也 是 必須 照顧 的 議題 。
必須	DS	必須 以 刮骨 療傷 的 決志 ，
必須	DS	兩岸 必須 在 民進黨 中央 執政 的 情境 下 ，
必須	DS	必須 探討出 一 個 可以 相互 包容 的 政治 協議 。
必須	DS	更 深刻 地 思考 台灣 在 兩岸 互動 上 必須 贏得 的 尊嚴 ，
必須	DS	它 必須 採取 「 呼吸 策略 」 而 不 是 「 窒息 策略 」 。
必須	DS	國民黨 必須 誠懇 檢討 兩岸 政策 對 台灣 人民 心理 層面 的 衝擊 及 在 分配 公平 正義 上 的 疑慮 。
必須	DS	就 必須 作 台 獨路線 的 轉型 者 、 修正 者 、 革命 者 或 拋棄 者 ，
必須	DS	而 她 也 必須 以 面對 此 種 抉擇 的 心情 邁向 最後 一 哩 。
必須	DS	卻 可能 必須 以 「 去 台獨 」 的 方案 來 面對 現實 。
必須	DS	蔡英文 必須 主動 操持 對 「 兩岸 新機遇 」 的 定義權 ，
必須	DS	必須 設法 擺脫 深 綠 的 捆綁 ，
必須	DS	而 在於 「 民進黨 必須 轉型 」 。
必須	DS	卻 必須 步步為營 。
必須	DS	則 是 蔡 若 重返 執政 必須 承 負 的 政治 責任 。
必須	DS	但 必須 承認 ：
必須	DS	這 是 必須 認清 的 現實 。
必須	DS	民進黨 原 已 意識到 必須 調整 兩岸 政策 ，
必須	DS	仍 必須 就 總體 國政 提出 架構性 的 主張 和 思維 。
必須	DS	人 們 都 必須 意識到 學運 可以 牽引 社會 腳步 ，
必須	DS	他 也 必須 吞下 此 一 「 斷章取義 」 的 結論 ，
必須	DS	而且 必須 說 得 愈來愈 清楚 。
必須	DS	提出 「 既是 國是 會議 、 必須 總統 主持 」 的 要求 ，
必須	DS	民進黨 原本 倡言 必須 將 現行 五％ 的 政黨 門檻 降至 三％ ，
必須	DS	必須 在 街頭 及 議場 上 分別 看待 ，
必須	DS	她 必須 不斷 提出 各 種 改革性 、 理想性 的 訴求 ，
必須	DS	必須 與 其 擔任 的 角色 對應 。
必須	DS	能力 必須 與 角色 相當 。
必須	DS	因此 她 就 必須 具備 與 其 角色 相當 的 能力 ，
必須	DS	政治 人物 的 能力 必須 與 其 角色 有 對稱性 ，
必須	DS	蔡英文 必須 有 能力 把 它 止住 ，
必須	DS	一 、 民進黨 必須 提升 與 轉型 。
必須	DS	但 蔡英文 必須 面對 。
必須	DS	也 必須 辨明 小氣旋 與 大 氣候 的 區別 ，
必須	DS	必須 能夠 包納 、 處理 並 跨越 這 段 歷史 。
必須	DS	它 必須 透過 民進黨 與 「 九二 共識 」 完成 歷史性 的 接軌 ，
必須	DS	蔡英文 必須 能夠 掙脫 民進黨 的 舊有 窠臼 ，
必須	DS	蔡英文 也 必須 回答 藍營 及 中間 選民 的 考題 。
必須	DS	人民 必須 回到 理性 的 、 真實 的 民主 原則 ，
必須	DS	當然 必須 積極 找出 病因 、 對症下藥 。
必須	DS	而 必須 就 台灣 的 問題 自己 尋求 解決之道 。
必須	DS	卻 都 必須 仰賴 民進黨 的 禮讓 和 整合 才能 敲定 選區 。
必須	DS	必須 有 「 超越 藍綠 」 的 自許 ，
必須	DS	公民 必須 學習 在 社會 上 與 「 不同 意見 」 和平 相處 。
必須	DS	台北 高等 行政 法院 判決 教育部 必須 公開 會議 紀錄 及 委員 投票 名單 意向 ，
必須	DS	立委 馬上 將 議題 拉高 為 臨時會 必須 緊急 插手 的 要務 。
必須	DS	中共 必須 有 最 壞 打算 。
必須	DS	強調 中國 必須 避免 戰爭 ，
必須	DS	必須 改以 火力 發電 替代 ，
必須	DS	必須 在 安全 、 環保 與 價格 三 方 作出 合適 的 考量 。
必須	DS	政府 的 能源 政策 必須 在 情 、 理 、 法三 方 同步 努力 ，
必須	DS	我們 必須 反思 ：
必須	DS	必須 靠 「 中華民國 」 支撐 ；
必須	DS	必須 求救 於 中華民國 ，
必須	DS	必須 改選 區域 立委 ，
必須	DS	這 則 必須 提醒 大家 注意 。
必須	DS	而 必須 算 在 蔡英文 的 帳 上 。
必須	DS	馬 政府 必須 揚棄 「 五 日 京兆 」 心態
必須	DS	而是 必須 在 論述 和 境界 上 有所 開展 ，
必須	DS	都 必須 透過 體制 的 政治 行動 中 尋求 扎根 ，
必須	DS	必須 深刻 反省 。
必須	DS	那麼 就算 是 必須 倒退 ，
必須	DS	國民黨 必須 從 這樣 的 盲動 中學 到 教訓 ：
必須	DS	政黨 的 發展 必須 要 有 長遠 的 大局 觀照 ，
必須	DS	人們 必須 警惕 的 是 ，
必須	DS	卻 必須 直面 馬習會 的 實質 效應 。
必須	DS	必須 注意 綠營 「 反中 」 與 「 打馬 」 策略 運用 的 主客 易位 ，
必須	DS	民進黨 堅持 馬 總統 必須 「 即 問 即 答 」 ，
必須	DS	而 民進黨 目前 利用 「 反中 打馬 」 作為 其 獲利 模式 的 戰略 也 必須 調整 。
必須	DS	蔡英文 必須 警覺 此 種 在 政策 上 與 性格 上 的 矛盾 。
必須	DS	但 必須 提醒 的 是 ，
必須	DS	民進黨 堅持 進口 美牛 瘦肉精 必須 「 零 檢出 」 ，
必須	DS	政府 任何 公共 政策 都 必須 權衡 各 方 利弊 得失 ，
必須	DS	但 必須 是 對 整體 社會 最為 有益 ，
必須	DS	民進黨 和 時代 力量 都 必須 重新 咀嚼 、 消化 。
必須	DS	她 更 必須 教導 持 不同 政治 信仰 的 人民 互相 尊重 、 互相 協助 ，
必須	DS	卻 也 是 它 必須 支付 的 代價 ，
必須	DS	而 必須 在 專業 議題 上 拿出 夠 水準 、 夠 深度 、 夠 持久 的 立法 表現 ；
必須	DS	一樣 必須 接受 檢驗 ：
必須	DS	台灣 的 公共 論壇 必須 降低 「 酸值 」 ，
必須	DS	民眾 的 「 嗆聲 」 和 「 打臉 」 文化 必須 反省 、 減 量 ，
必須	DS	就 必須 培養 他們 作為 社會 公民 的 基本 素質 ，
必須	DS	蔡英文 卻 必須 用 總統 的 高度 來 處理 ，
必須	DS	他 也 必須 謹慎 自己 的 言行 ，
必須	DS	所以 也 必須 向 地勤 讓步 。
必須	DS	則 必須 考慮 營運 成本 和 外部 競爭力 ，
必須	DS	這 種 善意 必須 維持 ，
必須	DS	必須 徹底 更新 。
必須	DS	必須 注意 的 是 ，
必須	DS	這 也 是 台灣 必須 警惕 的 諫言 。
必須	DS	但 我們 自己 必須 知道 皮相 底下 的 台灣 發生 了 什麼 問題 。
必須	DS	示威 學生 要求 政府 必須 先 制訂 《 兩岸 監督 條例 》 ，
必須	DS	但 更 必須 警惕 ，
必須	DS	以及 「 反蔣 去 孔 」 、 「 徹查 大學 一 中 承諾 書 」 、 「 中 轉 大陸 必須 報准 」 等 一道道 扣上 枷鎖 的 聲音 。
必須	DS	或 只是 祭壇 上 必須 掃除 的 灰燼 ；
