標記內容	宣傳手法	原句
必須	DS	我們 必須 肯定 太陽花 為 台灣 民主 注入 的 熱情 與 動力 。
必須	DS	但 也 都 必須 面對 它們 迎 來 的 暗潮 。
必須	DS	卻 必須 接受 理智 與 責任 的 考驗 。
必須	DS	而 必須 用 多 嚴厲 的 手段 給予 制裁 。
必須	DS	或者 應 看成 必須 改革 的 陋習 ？
必須	DS	高度 依賴 外貿 的 台灣 必須 迎向 這 個 挑戰 ；
必須	DS	吳敦義 必須 有 「 置 之 死地 而後 生 」 的 決心 。
必須	DS	吳敦義 必須 要 打開 思維 的 硬 殼 ，
必須	DS	這 是 他 必須 征服 的 第二 個 嚴苛 考驗 。
必須	DS	台灣 必須 用 自己 的 充員兵 去 嚇阻 中共 進犯 ，
必須	DS	台灣 必須 自己 負責 ，
必須	DS	而 覺得 必須 透過 如影隨形 的 示威 來 發洩 其 憤怒 。
必須	DS	必須 湧向 補習班 尋求 補充 ；
必須	DS	部會 必須 先 報告 「 始得 動支 」 ，
必須	DS	也 必須 承認 ：
必須	DS	駐日 代表 謝長廷 認為 檢調 必須 就此 公開 說明 ，
必須	DS	是否 意識到 自己 抗爭 的 對象 已經 不同 而 必須 調整 戰略 和 目標 ，
必須	DS	而 必須 從 根源 化解 ，
必須	DS	都 是 必須 討伐 鬥爭 的 「 幫兇 」 ？
必須	DS	民進黨 必須 想想 ：
必須	DS	反 年改 者 必須 節制 ，
必須	DS	蔡 政府 必須 反思 兩岸 政策 的 根本 盲點 ，
必須	DS	時力 又 必須 裝作 忘卻 和 柯文哲 的 路線 歧異 ，
必須	DS	卻 必須 邀 他 輔選 站台 為 自己 的 候選人 增添 知名度 ，
必須	DS	柯文哲 必須 想清楚 ：
必須	DS	北京 當局 必須 正視 香港 社會 因 政治 衝突 ，
必須	DS	他 也 必須 開放 自己 成為 最 大多數 的 載體 ，
在 彰顯 什麼 樣 的 法律 價值 ，	DT	究竟 在 彰顯 什麼 樣 的 法律 價值 ，
又 在 維護 什麼 樣 的 司法 正義 ？	DT	又 在 維護 什麼 樣 的 司法 正義 ？
卻 連 這 點 想法 也 容不下 ？	DT	卻 連 這 點 想法 也 容不下 ？
烏克蘭 財政 會不會 崩潰 ，	DT	烏克蘭 財政 會不會 崩潰 ，
會不會 又 要 商請 俄國 寬限 ，	DT	會不會 又 要 商請 俄國 寬限 ，
又 如何 贏得 民眾 認同 ？	DT	又 如何 贏得 民眾 認同 ？
為 台灣 爭取 利益 ？	DT	為 台灣 爭取 利益 ？
「 台獨 」 是否 為 「 正確 的 國家 生存 戰略 」	DT	而是 必須 思考 「 台獨 」 是否 為 「 正確 的 國家 生存 戰略 」 。
難道 連 自己 面臨 什麼 危機 都 不 明白 ？	DT	難道 連 自己 面臨 什麼 危機 都 不 明白 ？
如此 扭曲 的 網路 世界 又 如何 藉由 開放 、 自由 爭取 正義 ？	DT	如此 扭曲 的 網路 世界 又 如何 藉由 開放 、 自由 爭取 正義 ？
一 夕 之間	EXAGGERATION	但 崩毀 可能 只 在 一 夕 之間 。
永遠	EXAGGERATION	但 近年 來 卻 逐漸 成 了 永遠 在 上演 杯葛 、 衝突 、 脫序 戲碼 的 鬥獸場 。
轉瞬	EXAGGERATION	以致 最後 轉瞬 潰敗 在 群眾 的 懶人 包 行動 下 。
永遠	EXAGGERATION	如果 國家 決策 進程 永遠 受 絆 於 短視 的 選舉 時程 ，
一 夕 之間	EXAGGERATION	政府 可能 在 一 夕 之間 停擺 ；
永遠	EXAGGERATION	馬 總統 也許 永遠 不會 知道 政府 的 施政 有 多麼 讓 人民 失望 和 憤慨 ，
永遠	EXAGGERATION	國民黨 也 永遠 不 知道 自己 政黨 的 病情 有 多麼 嚴重 。
永遠	EXAGGERATION	即可 將 中國 大陸 永遠 摒 於 海峽 彼岸 。
永遠	EXAGGERATION	永遠 得不到 具體 的 解決 。
永遠	EXAGGERATION	政策 永遠 在 爭議 之中 擺盪 不 前 ，
永遠	EXAGGERATION	藍綠 要 永遠 各 據 山頭 作 你死我活 的 對決 ，
永遠	EXAGGERATION	如果 政黨 之間 永遠 只有 對立 ，
永遠	EXAGGERATION	正 是 從 光譜 中間 的 「 永遠 維持 現狀 」 向 兩 端 挪移 。
永遠	EXAGGERATION	台灣 主政 者 卻 以為 美國 還是 永遠 的 靠山 ，
永遠	EXAGGERATION	敢 衝 能 秀 的 立委 永遠 占盡 便宜 ，
永遠	EXAGGERATION	永遠 只 用 「 國家 尊嚴 」 遭到 打擊 為 藉口 來 剝削 民眾 的 感情 。
永遠	EXAGGERATION	卻 暴露 了 台灣 永遠 在 內 耗 的 無限 可悲 。
國會 象徵 的 就是 民意 。	FW	國會 象徵 的 就是 民意 。
台灣 的 出路 是 由 ＥＣＦＡ 到 ＴＰＰ 。	FW	台灣 的 出路 是 由 ＥＣＦＡ 到 ＴＰＰ 。
民主 精神	FW	這 並 不符 民主 精神 ，
「 捍衛 民主 」	FW	這 豈 符合 其 「 捍衛 民主 」 的 口號 ？
讓 學生 們 平安 地 回到 學校 及 家庭 吧 ！	FW	讓 學生 們 平安 地 回到 學校 及 家庭 吧 ！
「 人民 」	FW	他們 也 是 「 人民 」 或 「 公民 」 ，
「 全民 總統 」	FW	身為 以 「 全民 總統 」 自居 的 領導人 ，
「 媽媽 反核 能 」	FW	例如 「 媽媽 反核 能 」 、 「 學生 反 服貿 」 。
「 學生 反 服貿 」	FW	例如 「 媽媽 反核 能 」 、 「 學生 反 服貿 」 。
「 人民 」	FW	這些 團體 動輒 以 「 人民 」 自居 ，
「 人民 」	FW	對於 「 人民 」 的 多樣性 缺乏 了解 ，
「 人民 」	FW	幾乎 一 無 疑問 地 接受 對方 以 全 稱 出現 的 「 人民 」 身分 ，
「 人民 」	FW	這 個 社會 裡 很多 人 的 「 公民 」 或 「 人民 」 的 身分 其實 是 被 漠視 了 。
「 捍衛 民主 」	FW	強調 「 捍衛 民主 」 ，
呵護 我們 得來 不易 的 自由	FW	盡心 呵護 我們 得來 不易 的 自由 。
「 人民 」	FW	但 「 人民 」 不 是 一 個人 ，
「 人民 」	FW	而 雙方 竟 都 口口聲聲 宣稱 自己 代表 「 人民 」 。
國會 正 是 民主 憲政 中 由 選舉 產生 的 最 高 民意 機關 ，	FW	國會 正 是 民主 憲政 中 由 選舉 產生 的 最 高 民意 機關 ，
「 台灣 全球化 機遇 」	FW	竟 以 可以 救濟 的 「 程序 正義 」 賠上 分秒必爭 且 無可 逆轉 的 「 台灣 全球化 機遇 」 ，
民主 大 教室	FW	提供 了 一 個 難得 的 民主 大 教室 ，
「 民族 廉恥 ╱ 國民 義憤 」	FW	於是 五四運動 迄 今 在 歷史 上 仍 能 維持 其 反映 「 民族 廉恥 ╱ 國民 義憤 」 的 本色 。
民意	FW	但 顯然 也 有 一 股 想要 擺脫 藍 綠 糾纏 的 民意 ，
「 人民 」	FW	因為 這 群 學生 雖 打 著 「 人民 」 的 旗號 ，
國會 的 尊嚴 、 自主 與 不可 侵犯	FW	本 應 嚴正 捍衛 國會 的 尊嚴 、 自主 與 不可 侵犯 ，
「 人民 」	FW	是 民主 政治 將 「 人民 」 過渡 至 「 人民 主治 」 的 關鍵 渠道 ，
民主 精神	FW	這 又 是 什麼 民主 精神 ？
民主 精神	FW	這 是 比較 合乎 民主 精神 的 作法 。
民主 精神	FW	因而 缺乏 應 有的 民主 精神 。
民主 精神	FW	會 覺得 這樣 的 作法 合乎 民主 精神 嗎 ？
民主 精神	FW	無論 法國 的 自由 傳統 或 美國 的 民主 精神 ，
「 全民 總統 」	FW	形式 上 還 作出 要 當 「 全民 總統 」 的 模樣 ；
被 釘上 十字架	HA	使 他 無法 免於 被 釘上 十字架 。
野百合	HA	民國 七十九年 的 「 野百合 」 運動 ，
「 五二○ 農運 」	HA	不 太 容易 引發 如 民國 七十七年 「 五二○ 農運 」 那樣 激烈 的 流血 衝突 。
「 茉莉花 革命 」	HA	「 茉莉花 革命 」 的 情境 與 充分 民主化 的 台灣 完全 不同 ，
泰國 的 紅 衫軍 和 黃 衫軍 之 爭	HA	例如 泰國 的 紅 衫軍 和 黃 衫軍 之 爭 ，
烏克蘭 十 年前 的 橘色 革命	HA	例如 烏克蘭 十 年前 的 橘色 革命 看似 成功 ，
野百合	HA	有 人 將 這 場 太陽花 學運 與 一九九○年 的 野百合 學運 相較 。
野百合	HA	坐 在 中正 紀念堂 廣場 的 野百合 ，
野百合	HA	除 太陽花 較 野百合 肆無忌憚 外 ，
野百合	HA	一九九○年 野百合 學運 的 一些 參與 者 ，
天安門	HA	更 憂慮 香港 會不會 重演 當年 天安門 廣場 的 悲劇 。
杯葛	LL	繞過 綠軍 霸占 主席台 的 杯葛 陣式 ，
鬧劇	LL	以 鬧劇 對付 鬧劇 ，
鬧劇	LL	以 鬧劇 對付 鬧劇 ，
不成體統	LL	實在 不成體統 ，
恥	LL	這 是 立法院 之 恥 。
憂慮	LL	這 是 她 對 黨 「 私有化 」 的 憂慮 。
勃然大怒	LL	引起 蘇貞昌 勃然大怒 ，
視 人民 為 政黨 可 驅遣 之 「 工具 」	LL	甚至 視 人民 為 政黨 可 驅遣 之 「 工具 」 ，
鬥爭	LL	彼此 不時 透過 鬥爭 或 結合 而 爭逐 利益 ；
根本	LL	根本 不 在乎 犧牲 台灣 的 未來 及 民眾 的 利益 。
犧牲	LL	根本 不 在乎 犧牲 台灣 的 未來 及 民眾 的 利益 。
罔顧	LL	這樣 汲汲 追逐 一 黨 之 私 、 罔顧 國家 整體 發展 的 政黨 ，
撕裂	LL	以 撕裂 社會 的 手段 把 政治 推向 「 私有化 」 的 窄巷 ，
杯葛	LL	綠軍 鎮日 熱中 杯葛 霸占 ，
譴責	LL	蔡英文 卻 只是 一面倒 地 譴責 藍營 ，
根本	LL	根本 和 蘇貞昌 沒有 兩樣 。
黨政 不 分	LL	過去 常 用來 形容 國民黨 的 黨政 不 分 ，
鬥爭	LL	現在 則 形諸 民進黨 之 為 鬥爭 而 鬥爭 ，
鬥爭	LL	現在 則 形諸 民進黨 之 為 鬥爭 而 鬥爭 ，
倒退	LL	蘇貞昌 領導 的 民進黨 在 向 後 倒退 ，
無效	LL	應 屬 無效 。
抹 除	LL	不僅 一舉 抹 除了 「 政黨 」 作為 「 人民 團體 」 的 特殊性 ，
動輒	LL	將 長久以來 朝野 政黨 動輒 以 「 黨紀 」 、 「 黨規 」 懲處 黨員 的 鍘刀 繳械 。
聲望 連挫	LL	對 聲望 連挫 的 馬英九 而 言 ，
受挫	LL	馬 總統 多 次 受挫 ，
撇開	LL	判決 故意 撇開 檢審會 已經 檢驗 過 的 王柯 關說 事實 ，
託詞	LL	卻 託詞 說 「 法院 所 追求 的 公平 正義 與 政治 折衝 的 利益 妥協 截然不同 」 ，
矯情	LL	不免 顯得 太過 矯情 。
下 了 如此 重 手	LL	法官 對於 國民黨 的 程序 之 失 下 了 如此 重 手 ，
輕輕 撇 到 一 旁 不理	LL	卻 把 王金平 的 關說 事實 輕輕 撇 到 一 旁 不理 ，
袖手旁觀	LL	議長 和 朝野 立委 不可 袖手旁觀
拖延	LL	民進黨 在 過程 中 不斷 刻意 拖延 ，
怒火	LL	引爆 「 反 服貿 」 民眾 的 怒火 。
「 政府 的 失 能 」	LL	一 面 反映 的 是 「 政府 的 失 能 」 ，
「 民主 的 失控 」	LL	另 一 面 反射 的 則 是 「 民主 的 失控 」 。
密室 協商	LL	但 台灣 近年 來 頻頻 透過 「 密室 協商 」 解決 問題 ，
杯葛	LL	法案 審理 始終 充滿 杯葛 、 拖延 和 交易 ，
拖延	LL	法案 審理 始終 充滿 杯葛 、 拖延 和 交易 ，
蕩然無存	LL	民主 政治 應 有的 多數 統治 、 大眾 諮商 功能 則 蕩然無存 。
無底洞	LL	就 如同 進入 無底洞 ，
不見天日	LL	從此 不見天日 ；
政府 的 失 能	LL	這 確實 是 政府 的 失 能 。
拖 了	LL	拖 了 整整 九 個 月 ，
根本	LL	朝野 對 「 實質 審查 」 根本 毫無 興趣 ，
杯葛	LL	民進黨 排 案 只 為了 杯葛 ，
侵犯	LL	國會 凜然 不可 侵犯 ，
羞辱 國家	LL	就是 羞辱 國家 、 羞辱 民主 的 失格 舉動 。
羞辱 民主	LL	就是 羞辱 國家 、 羞辱 民主 的 失格 舉動 。
失格	LL	就是 羞辱 國家 、 羞辱 民主 的 失格 舉動 。
區區	LL	區區 五百 名 學生 的 代表性 又 在 哪裡 ？
「 反 民主 」	LL	要 指 誰 「 反 民主 」 、 「 黑箱 」 ，
「 黑箱 」	LL	要 指 誰 「 反 民主 」 、 「 黑箱 」 ，
譴責	LL	但 應該 譴責 的 不 是 學生 ，
坐收漁利	LL	樂 得 坐收漁利 。
淪陷	LL	他們 應該 為 國會 的 淪陷 感到 羞愧 ；
羞愧	LL	他們 應該 為 國會 的 淪陷 感到 羞愧 ；
爆發	LL	王柯 關說案 爆發 至今 七 個 月 ，
命 喪	LL	反而 命 喪 政治 與 司法 的 亂刀 之下 ；
亂刀	LL	反而 命 喪 政治 與 司法 的 亂刀 之下 ；
悲劇	LL	這 是 黃世銘 的 悲劇 ，
悲劇	LL	也 是 台灣 的 悲劇 。
姑息	LL	以及 社會 輿論 對 不公 不義 者 的 姑息 與 漠然 。
漠然	LL	以及 社會 輿論 對 不公 不義 者 的 姑息 與 漠然 。
本末倒置	LL	完全 本末倒置 。
令 人 三 嘆	LL	真是 令 人 三 嘆 的 法匠 思維 。
拘泥 不 化	LL	這 除了 拘泥 不 化 ，
狹隘	LL	更 狹隘 到 令 人 困惑 。
構陷	LL	並 非 構陷 ；
鬥垮	LL	將 他 鬥垮 ，
倒錯	LL	這樣 的 倒錯 景象 ，
醜態	LL	朝野 立委 在 國會 簇擁 關說 者 的 醜態 令 人 不忍卒睹 ；
不忍卒睹	LL	朝野 立委 在 國會 簇擁 關說 者 的 醜態 令 人 不忍卒睹 ；
令 人 痛心 的	LL	更 令 人 痛心 的 ，
扭曲	LL	則 是 此 案 經過 利益 與 政治 的 交互 扭曲 ，
殘害	LL	對 政黨 政治 造成 了 結構性 的 殘害 。
扭曲	LL	這 豈非 政黨 政治 的 扭曲 ？
讓 人 遺憾	LL	這 也 是 日前 王金平 黨籍案 判決 讓 人 遺憾 的 主因 ，
大剌剌	LL	看 王金平 昨天 大剌剌 拒絕 出席 「 院際 會議 」 ，
狠狠	LL	並 狠狠 給 了 馬 總統 一 個 難堪 ；
難堪	LL	並 狠狠 給 了 馬 總統 一 個 難堪 ；
硬生生	LL	把 一 個 忠誠 堪虞 的 人 硬生生 塞給 國民黨 ，
磨刀 霍霍	LL	七 個 月 來 政治 和 司法 磨刀 霍霍 ，
膚淺	LL	以 膚淺 的 理由 宰殺 了 社會 正義 ，
宰殺	LL	以 膚淺 的 理由 宰殺 了 社會 正義 ，
大 毒瘤	LL	卻 留下 了 司法 關說 的 大 毒瘤 。
危害	LL	了解 它 對 台灣 產業 的 危害 。
凶險	LL	兩岸 關係 極度 凶險 ，
走投無路	LL	扁 政府 在 華府 及 北京 的 雙重 包夾 壓力 下 幾乎 走投無路 ；
嚴重	LL	台灣 貿易 將 出現 嚴重 逆差 ，
狂暴	LL	馬 政府 當初 是 在 民進黨 的 狂暴 反對 下 ，
迫使	LL	迫使 台灣 經濟 困窘 而 釀生 內亂 再 加 利用為 好 。
困窘	LL	迫使 台灣 經濟 困窘 而 釀生 內亂 再 加 利用為 好 。
內亂	LL	迫使 台灣 經濟 困窘 而 釀生 內亂 再 加 利用為 好 。
趨吉避凶	LL	並 趨吉避凶 、 因勢利導 ；
絕無 可能	LL	但 絕無 可能 逃避 或 停斷 兩岸 經貿 ，
政治 災難	LL	更 將 帶來 政治 災難 。
狂暴	LL	民進黨 曾經 狂暴 反對 ＥＣＦＡ ，
狂暴	LL	今天 民進黨 還 在 狂暴 地 反對 服貿 協議 ，
喪志	LL	但 讓 自己 喪志 喪膽 則 無 必要 。
喪膽	LL	但 讓 自己 喪志 喪膽 則 無 必要 。
倉皇	LL	總統 亞努科維 奇 倉皇 出走 ，
短短	LL	但 短短 一 個 月 後 ，
羞辱	LL	駐守 當地 的 官兵 遭到 羞辱 驅逐 ；
衰變	LL	這 從 一連串 茉莉花 革命 的 衰變 已 可 得知 ，
惡化	LL	儘管 人們 明白 情況 並 未 惡化 至 此 ，
憂慮	LL	其 憂慮 可想而知 。
崩裂	LL	只 能 坐視 國土 崩裂 。
鬥爭	LL	除了 「 親歐 」 或 「 親俄 」 的 路線 鬥爭 外 ，
嚴重	LL	更 嚴重 的 是 ，
結黨營私	LL	執政 菁英 則 長袖善舞 、 結黨營私 ；
矛盾	LL	經濟 困頓 和 民族 矛盾 便 轉化成 政治 危機 的 形式 爆發 。
危機	LL	經濟 困頓 和 民族 矛盾 便 轉化成 政治 危機 的 形式 爆發 。
爆發	LL	經濟 困頓 和 民族 矛盾 便 轉化成 政治 危機 的 形式 爆發 。
狡猾	LL	怎麼 鬥 得 過 普亭 這 隻 狡猾 的 北極 狼 ？
併吞	LL	看看 普亭 併吞 克里米亞 的 三部曲 ，
譴責	LL	普亭 更 譴責 烏克蘭 當權者 「 榨乾 了 烏克蘭 」 。
杯葛	LL	此 舉 其實 杯葛 力道 有限 ，
投鼠忌器	LL	卻 反 暴露 歐盟 投鼠忌器 ，
傷害	LL	確 可 對 俄國 造成 一定 傷害 ，
傷害	LL	這 對 高度 倚賴 俄國 油氣 的 歐盟 國家 一樣 會 有 傷害 ，
無效	LL	將 使 歐盟 的 制裁 顯得 無效 又 自傷 ，
自傷	LL	將 使 歐盟 的 制裁 顯得 無效 又 自傷 ，
得不償失 。	LL	得不償失 。
熱鬧	LL	學生 的 烏克蘭 印象 似乎 還 停留 在 基輔 廣場 二月 的 熱鬧 ，
喪 權 失土	LL	卻 沒 看到 三月 喪 權 失土 、 西方 口惠 落空 的 烏克蘭 吧 ！
口惠 落空	LL	卻 沒 看到 三月 喪 權 失土 、 西方 口惠 落空 的 烏克蘭 吧 ！
危機	LL	【 2014 - 03 - 24 / 聯合報 / A 2 版 / 反 服貿 第7天 攻占 兩 院 危機 處理 】
光榮	LL	學生 有沒有 從 國會 光榮 撤退 的 可能 ？
衝撞	LL	鷹派 學生 率隊 衝撞 行政院 後 遭 警察 強力 驅離 ，
暴力	LL	鴿 派 學生 則 憑藉 「 非暴力 抗爭 」 訴求 仍 固守 立法院 議場 。
暴力	LL	但 就算 堅持 非暴力 抗爭 ，
光榮	LL	學生 有沒有 機會 從 國會 光榮 撤退 ？
光榮	LL	照理 學生 即可 光榮 從 立法院 撤退 。
見獵心喜	LL	學運 領袖 因 聲援 者 眾 、 媒體 矚目 而 見獵心喜 ，
逼 得	LL	逼 得 學生 激化 訴求 ；
指使	LL	指使 學生 提出 讓 政府 難以 接受 的 訴求 ，
驅逐	LL	鷹派 學生 自行 發動 衝撞 行政院 遭到 強力 驅逐 ，
迅雷不及掩耳 地	LL	這 次 學生 迅雷不及掩耳 地 攻下 國會 ，
嘆為觀止	LL	讓 外界 嘆為觀止 ；
以 占領 或 攻擊 政府 機構 為 樂	LL	卻 動輒 以 占領 或 攻擊 政府 機構 為 樂 ，
以 製造 騷亂 自得 ，	LL	以 製造 騷亂 自得 ，
癥結	LL	政府 官員 溝通 不足 、 欠缺 誠意 也 是 主要 癥結 。
誤解	LL	釐清 種種 誤解 ；
井然有序	LL	原本 贏得 外界 讚賞 的 井然有序 ，
脫軌	LL	而 反 服貿 不 對等 的 初衷 也 漸 被 脫軌 的 高調 淹沒 。
淹沒	LL	而 反 服貿 不 對等 的 初衷 也 漸 被 脫軌 的 高調 淹沒 。
大話	LL	應該 放下 大話 ，
光榮	LL	學生 才 有 光榮 走出 議場 的 機會 ，
長才	LL	並 發揮 其 「 圓融 」 長才 ，
瘖啞	LL	政府 瘖啞 ，
幻影	LL	還是 幻影 ？
「 霸權 」	LL	當 占領 國會 的 學生 搶奪 了 發言 「 霸權 」 ，
壟斷	LL	從而 壟斷 了 民主 舞台 ；
譴責	LL	迅速 收攏 了 社會 上 對於 軍 中 不當 管教 的 譴責 ，
迫使	LL	迫使 政府 做出 改革 。
動輒	LL	這些 團體 動輒 以 「 人民 」 自居 ，
壟斷	LL	壟斷 了 社會 的 發言 ，
排擠	LL	也 排擠 了 其他 人 的 聲音 。
虛矯	LL	一 種 虛矯 的 「 官民 對峙 」 ，
抹煞	LL	社會 上 許多 沉默 公民 的 聲音 就 被 抹煞 ；
奪取	LL	卻 被 反對 者 奪取 了 發言權 ，
一搭一唱	LL	加上 政府 與 反對 者 一搭一唱 壟斷 了 民主 平台 ，
壟斷	LL	加上 政府 與 反對 者 一搭一唱 壟斷 了 民主 平台 ，
漠視	LL	這 個 社會 裡 很多 人 的 「 公民 」 或 「 人民 」 的 身分 其實 是 被 漠視 了 。
薄弱	LL	馬英九 的 「 領導 力 」 薄弱 ，
通病	LL	這 是 法匠 的 通病 ，
嚴重	LL	是 一 次 嚴重 的 政治 危機 ，
危機	LL	是 一 次 嚴重 的 政治 危機 ，
危機	LL	這 股 沉默 力量 才能 成為 政府 處理 危機 的 後盾 。
風暴	LL	服貿 風暴 弔詭 ：
風暴	LL	這 場 服貿 風暴 ，
抗中	LL	打 的 是 「 反中 抗中 」 的 旗幟 ，
挾制	LL	亦 在 政治 上 更 受 中國 的 挾制 。
風暴	LL	這 場 服貿 風暴 的 弔詭 是 ：
抗中	LL	打 著 反中 抗中 的 旗幟 ，
害台	LL	卻 將 造成 害台 禍台 的 後果 。
禍台	LL	卻 將 造成 害台 禍台 的 後果 。
風暴	LL	這 場 風暴 的 主角 是 大學生 ，
煽風 點火	LL	煽風 點火 的 民進黨 蘇 蔡謝 等 天王 們 更 絕非 出於 無知 ，
葬送	LL	竟 不惜 葬送 台灣 。
風暴	LL	這 場 服貿 風暴 應 如何 定性 ？
禍台	LL	或 禍台 ？
「 黑箱 」 ，	LL	大家 都 說 「 黑箱 」 ，
嚴重	LL	此 事 誠 是 一 件 嚴重 的 議事 衝突 ，
衝突	LL	此 事 誠 是 一 件 嚴重 的 議事 衝突 ，
空泛	LL	而 只是 空泛 地 說 「 傷害 中小企業 」 。
傷害	LL	而 只是 空泛 地 說 「 傷害 中小企業 」 。
藉口	LL	反 黑箱 、 反 服貿 只是 藉口 ，
風暴	LL	這 場 風暴 的 真正 性質 其實 是 「 反中 」 。
煽動	LL	繼續 煽動 「 反中 抗中 」 的 情緒 。
抗中	LL	繼續 煽動 「 反中 抗中 」 的 情緒 。
風暴	LL	這 一 場 「 反中 抗中 」 的 風暴 ，
風暴	LL	這 場 服貿 風暴 至少 已 產生 三 種 效應 ：
崩盤	LL	一 、 民進黨 對 北京 當局 的 和解 政策 崩盤 ，
嚴酷	LL	這 使得 民進黨 若 再 執政 必 遭 北京 嚴酷 挾制 。
挾制	LL	這 使得 民進黨 若 再 執政 必 遭 北京 嚴酷 挾制 。
傷害	LL	對 外 傷害 台灣 未來 的 締約 信任 ，
撕裂	LL	對 內 使 社會 撕裂 更形 嚴重 ，
嚴重	LL	對 內 使 社會 撕裂 更形 嚴重 ，
