標記內容	宣傳手法	原句
危機	LL	此 次 九合一 選舉 顯現 的 台灣 危機 有 二 ：
鬧劇	LL	但 台北市 的 連 柯 之 爭 卻 已 形同 鬧劇 。
自相矛盾	LL	豈非 自相矛盾 ？
陷	LL	全民 幾 已 陷入 遺忘 「 全球化 ╱ 兩岸 深水區 」 兩 大全 局 議題 之 境地 ，
惡化	LL	而 前述 的 兩 大 議題 卻 仍 繼續 在 惡化 之中 。
抗中	LL	以 硬碰硬 、 『 抗中 』 到底 、 向 綠 靠攏 ，
戒慎	LL	民進黨 必須 戒慎 恐懼 ，
恐懼	LL	民進黨 必須 戒慎 恐懼 ，
陷	LL	原本 因 釣魚台 主權 爭議 而 陷入 低潮 的 中日 關係 ，
爆發	LL	隨後 爆發 的 張 顯耀 洩密案 ，
陷	LL	這些 你來我往 讓 兩岸 關係 陷於 冷凍 。
倒退	LL	雙方 領導人 對於 兩岸 政治 定位 的 共識 更 有 倒退 跡象 。
誤解	LL	應該 放 在 化解 雙方 一 年 來 的 誤解 和 歧見 ，
長才	LL	以 蕭萬長 的 外交 長才 ，
根本	LL	儼然 亦 是 對 國民黨 及 馬 政府 兩岸 政策 的 根本 否定 ，
陷阱	LL	而 不可 落入 「 報復 馬英九 ╱ 套 殺 民進黨 」 的 情緒性 陷阱 ，
杯葛	LL	又 對 ＥＣＦＡ 體系 杯葛 到底 ，
衝擊	LL	只 能 把 衝擊 留給 企業 ，
衝擊	LL	對 台灣 的 心理 衝擊 仍 超乎 預期 。
磨刀 霍霍	LL	磨刀 霍霍 等 著 政府 出糗 ，
衝擊	LL	對於 台灣 相關 產業 之 衝擊 必然 是 鉅大 的 ，
漠然	LL	對 世界 潮流 的 風起雲湧 一概 漠然 以 對 ，
扭曲	LL	但 其 發洩 出口 卻 是 扭曲 的 ；
眾矢之的	LL	為了 一 個 懸 為 眾矢之的 的 「 服貿 黑箱 」 ，
難辭其咎	LL	馬 政府 亦 難辭其咎 ，
衝擊	LL	何止 《 中 韓 自 貿協定 》 之 衝擊 ？
陷	LL	台灣 政局 已 陷 躁動 ，
躁動	LL	台灣 政局 已 陷 躁動 ，
鬥爭	LL	這 卻 是 相關 當局 的 往復 猶豫 與 角色 鬥爭 所 造成 。
剝奪	LL	又 運用 「 世代 剝奪 」 來 號召 社會 支援 。
剝奪	LL	將 「 世代 剝奪 」 與 「 中國 剝奪 」 相 連結 ，
剝奪 	LL	將 「 世代 剝奪 」 與 「 中國 剝奪 」 相 連結 ，
抗中	LL	於是 形成 了 反 中 、 抗中 、 仇中 的 氛圍 。
仇中	LL	於是 形成 了 反 中 、 抗中 、 仇中 的 氛圍 。
託詞	LL	而 非 託詞 「 逐條 審查 」 ，
陷	LL	已 使 國家 方向 與 生存 戰略 陷於 迷失 。
迷失	LL	已 使 國家 方向 與 生存 戰略 陷於 迷失 。
衝撞	LL	卻 也 可能 將 台灣 帶上 另 一 次 台獨 政經 路線 的 大 衝撞 。
危機	LL	為 安倍 政權 帶來 極 大 的 危機 。
危機	LL	但 如今 的 安倍 卻 被 願 景 破滅 的 危機 所 圍困 。
圍困	LL	但 如今 的 安倍 卻 被 願 景 破滅 的 危機 所 圍困 。
陷	LL	陷入 新 一 波 的 外交 困境 。
困境	LL	陷入 新 一 波 的 外交 困境 。
衝擊	LL	對 外 競爭 又 受到 中 韓 自由 貿易 協議 的 衝擊 ，
濫用	LL	勿 濫用 網路 叢林 的 自由
故意	LL	更 有 人 故意 散播 變造 、 捏造 、 內容 不實 之 圖文 ，
醜化	LL	意圖 醜化 特定 對象 ，
傷害	LL	往往 能夠 造成 傷害 ，
危機	LL	指 劉憶如 撰文 批評 馬政府 稱 《 中 韓 自由 貿易 協定 》 將 帶給 台灣 危機 完全 是 「 誇大 其詞 」 ，
危機	LL	認為 馬政府 誇大 危機 。
見獵心喜	LL	自由時報 見獵心喜 ，
硬生生	LL	硬生生 將 別人 沒 說 過 的 話 強 塞到 她 嘴 裡 ，
傷害	LL	如此 造成 的 傷害 ，
醜化	LL	除 為 醜化 執政黨 ，
扭曲	LL	如此 扭曲 的 網路 世界 又 如何 藉由 開放 、 自由 爭取 正義 ？
根本	LL	但 許多 網民 一口咬定 連勝文 根本 並 未 見到 張榮發 本人 ，
一敗塗地	LL	國民黨 一敗塗地 ，
崩盤	LL	面對 這 個 崩盤 的 局面 ，
流失	LL	地方 版圖 流失 有如 土石 流 一瀉千里 ，
難堪	LL	如此 難堪 的 戰績 ，
拖累	LL	受 中央 執政 欠佳 拖累 是 主要 癥結 。
癥結	LL	受 中央 執政 欠佳 拖累 是 主要 癥結 。
危機	LL	也許 能 喚起 深藍 的 危機 意識 ，
流失	LL	卻 反而 流失 中間 選民 。
失望	LL	馬 總統 也許 永遠 不會 知道 政府 的 施政 有 多麼 讓 人民 失望 和 憤慨 ，
憤慨	LL	馬 總統 也許 永遠 不會 知道 政府 的 施政 有 多麼 讓 人民 失望 和 憤慨 ，
嚴重	LL	國民黨 也 永遠 不 知道 自己 政黨 的 病情 有 多麼 嚴重 。
病情	LL	國民黨 也 永遠 不 知道 自己 政黨 的 病情 有 多麼 嚴重 。
耽溺	LL	有 一 種 耽溺 內鬥 甚於 團結 對 外 的 愚頑 。
內鬥	LL	有 一 種 耽溺 內鬥 甚於 團結 對 外 的 愚頑 。
愚頑	LL	有 一 種 耽溺 內鬥 甚於 團結 對 外 的 愚頑 。
崩盤	LL	這 次 國民黨 九合一 選舉 的 崩盤 ，
根本	LL	認為 資訊 不足 卻 標榜 公民 參與 根本 行不通 。
杯葛	LL	民進黨 僅 以 「 杯葛 」 一 招 ，
汗顏	LL	恐怕 也 會 感到 有 些 汗顏 。
干擾	LL	柯文哲 在 紛亂 的 政治 干擾 中 忘卻 初衷 ，
衝擊	LL	都 是 全球化 衝擊 引發 世代 緊張 的 一 環 ，
爆發	LL	正 是 這 股 青年 憤怒 積累 之後 的 總 爆發 。
矛盾	LL	而 在 現實 的 世代 矛盾 ；
矛盾	LL	並 設法 解決 經濟 、 社會 、 政治 各 層面 的 世代 矛盾 ，
流失	LL	面對 自己 因 時代 變化 而 流失 的 機會 ，
嚴重	LL	都 顯示 民主 政治 已 面臨 嚴重 的 功能性 障礙 。
障礙	LL	都 顯示 民主 政治 已 面臨 嚴重 的 功能性 障礙 。
癥結	LL	其中 癥結 ，
失能	LL	民主 失能 台灣 的 體制 優勢 正在 流失
流失	LL	民主 失能 台灣 的 體制 優勢 正在 流失
流失	LL	台灣 的 體制 優勢 似 在 逐漸 流失 。
光榮感	LL	台灣 向 有 「 民主 自由 」 較 「 一黨 專政 」 優越 的 光榮感 與 自信心 。
自信心	LL	台灣 向 有 「 民主 自由 」 較 「 一黨 專政 」 優越 的 光榮感 與 自信心 。
憂慮	LL	但 如今 值得 憂慮 的卻 是 ：
陷	LL	甚至 使 台灣 陷於 難以 抗衡 北京 的 困局 。
困局	LL	甚至 使 台灣 陷於 難以 抗衡 北京 的 困局 。
陷	LL	台灣 若 繼續 陷 此 狀態 ，
撕裂	LL	台灣 的 「 憲政 」 連 國家 認同 都 呈現 撕裂 ，
嚴重	LL	遠 較 憲法 條文 的 問題 更 嚴重 ；
摧毀	LL	假 「 民主 」 之 名 摧毀 了 「 多數 治理 」 的 憲政 原則 ，
陷	LL	自由 開放 陷於 自相矛盾 ，
自相矛盾	LL	自由 開放 陷於 自相矛盾 ，
陷	LL	台灣 則 陷於 民主 政治 攪亂 經濟 發展 ，
攪亂	LL	台灣 則 陷於 民主 政治 攪亂 經濟 發展 ，
撕裂	LL	不能 再 以 撕裂 為 手段 ，
惡化	LL	「 失能 的 民主 」 將 難以 扭轉 兩岸 消長 情勢 的 繼續 惡化 。
陷	LL	台灣 不可 自 陷 「 成 也 民主 ╱ 敗 也 民主 」 的 悖論 。
霸占	LL	除了 太陽花 占據 立法院 、 立委 霸占 主席台 、 「 政黨 協商 」 ，
霸占	LL	除了 太陽花 占據 立法院 、 立委 霸占 主席台 、 「 政黨 協商 」 ，
流失	LL	正在 逐漸 流失 之中 。
缺陷	LL	此 一 兩岸 架構 容有 缺陷 及 風險 ，
風險	LL	此 一 兩岸 架構 容有 缺陷 及 風險 ，
杯葛	LL	且 對 ＥＣＦＡ 架構 後續 協議 及 兩岸 互 設 辦事處 等 續 持 杯葛 立場 。
自相矛盾	LL	這 種 進退維谷 、 自相矛盾 的 情勢 ，
煽動	LL	更 煽動 反對 服 貿 協議 等 ＥＣＦＡ 後續 工程 ，
剝奪	LL	對 世代 剝奪 的 憤怒 ，
憤怒	LL	對 世代 剝奪 的 憤怒 ，
陷	LL	國民黨 似乎 陷入 了 萬 馬齊瘖 的 境地 。
萬 馬齊瘖	LL	國民黨 似乎 陷入 了 萬 馬齊瘖 的 境地 。
砲聲隆隆	LL	國民黨 內 竟 未 聞 砲聲隆隆 ，
排擠	LL	有 企圖心 及 有 創意 的 人才 則 漸漸 遭到 排擠 和 淘空 。
淘空	LL	有 企圖心 及 有 創意 的 人才 則 漸漸 遭到 排擠 和 淘空 。
流失	LL	流失 速度 之 快 ，
醜化	LL	而 整 個 黨 卻 不斷 遭到 醜化 及 羞辱 ；
羞辱	LL	而 整 個 黨 卻 不斷 遭到 醜化 及 羞辱 ；
嚴重	LL	更 嚴重 影響到 內部 意見 的 交流 ，
衝擊	LL	這 在 歷經 首 次 政黨 輪替 的 強烈 衝擊 後 ，
矛盾	LL	太陽花 學運 和 民進黨 之間 的 合作 關係 也 就 難 掩 矛盾 了 。
撕裂	LL	但 也 有 可能 撕裂 太陽花 原始 的 素淨 形象 。
崩解	LL	民進黨 必須 正視 兩岸 和平 框架 崩解 的 警告
崩解	LL	將 面臨 崩解 危機 。
危機	LL	將 面臨 崩解 危機 。
崩解	LL	直接 發出 民進黨 必須 面對 「 兩岸 和平 框架 崩解 」 的 警告 。
崩解	LL	民進黨 必須 正視 兩岸 和平 框架 將 面臨 崩解 危機 。
危機	LL	民進黨 必須 正視 兩岸 和平 框架 將 面臨 崩解 危機 。
衝擊	LL	這 對 台灣 社會 的 心理 衝擊 與 實質 影響 ，
崩解	LL	皆 可能 對 若 重返 執政 的 民進黨 政府 發生 「 政權 崩解 」 的 嚴重 效應 。
嚴重	LL	皆 可能 對 若 重返 執政 的 民進黨 政府 發生 「 政權 崩解 」 的 嚴重 效應 。
絕無 可能	LL	北京 亦 絕無 可能 如 蔡英文 所 說 「 朝 民進黨 的 方向 調整 」 ，
崩解	LL	亦即 不要 留給 北京 任何 導致 「 兩岸 和平 框架 崩解 」 的 藉口 。
藉口	LL	亦即 不要 留給 北京 任何 導致 「 兩岸 和平 框架 崩解 」 的 藉口 。
陷	LL	在 幾乎 所有 重大 國政 皆 陷 僵局 的 此 際 ，
僵局	LL	在 幾乎 所有 重大 國政 皆 陷 僵局 的 此 際 ，
霸占	LL	可望 提供 一 個 應當 不會 有 人 霸占 主席台 的 國是 論壇 。
霸占	LL	沒有 人 霸占 主席台 ，
衝擊	LL	台灣 如何 在 全球化 的 衝擊 下 ，
霸占	LL	這 若是 一 場 無 人 霸占 主席台 的 國是 論壇 ，
爆發	LL	第一 次 南京 的 「 王張會 」 在 太陽花 爆發 前 一 個 月 舉行 ，
尊嚴	LL	更 深刻 地 思考 台灣 在 兩岸 互動 上 必須 贏得 的 尊嚴 ，
破局	LL	但 受到 太陽 花 學運 、 張顯耀 洩密案 、 ＡＰＥＣ 「 馬習會 」 破局 、 習近平 強調 對 台 「 一國兩制 」 、 香港 占 中 事件 、 九合一 選舉 國民黨 慘敗 等 一連串 事件 的 衝擊 ，
慘敗	LL	但 受到 太陽 花 學運 、 張顯耀 洩密案 、 ＡＰＥＣ 「 馬習會 」 破局 、 習近平 強調 對 台 「 一國兩制 」 、 香港 占 中 事件 、 九合一 選舉 國民黨 慘敗 等 一連串 事件 的 衝擊 ，
衝擊	LL	但 受到 太陽 花 學運 、 張顯耀 洩密案 、 ＡＰＥＣ 「 馬習會 」 破局 、 習近平 強調 對 台 「 一國兩制 」 、 香港 占 中 事件 、 九合一 選舉 國民黨 慘敗 等 一連串 事件 的 衝擊 ，
爆發	LL	去年 八月 爆發 王郁琦 主委 指控 副主委 兼 我方 首席 談判 代表 張顯耀 洩密 一 案 ，
傷害	LL	不僅 對 兩岸 互信 造成 難以 彌補 的 傷害 ，
傷害	LL	但 對 兩岸 關係 的 傷害 卻 相對 減輕 ，
錯亂	LL	發生 此 一 事件 並 因 處理 程序 似 顯 錯亂 而 掀起 政治 風暴 ，
風暴	LL	發生 此 一 事件 並 因 處理 程序 似 顯 錯亂 而 掀起 政治 風暴 ，
衝擊 	LL	國民黨 必須 誠懇 檢討 兩岸 政策 對 台灣 人民 心理 層面 的 衝擊 及 在 分配 公平 正義 上 的 疑慮 。
疑慮	LL	國民黨 必須 誠懇 檢討 兩岸 政策 對 台灣 人民 心理 層面 的 衝擊 及 在 分配 公平 正義 上 的 疑慮 。
衝突	LL	一旦 內外 衝突 再 起 ，
衝突	LL	她 確實 面臨 如此 強烈 衝突 的 抉擇 ，
衝擊	LL	中華民國 的 現狀 亦 受 衝擊 。
口實	LL	勿 落 北京 口實 而 遭 挾制 ，
挾制	LL	勿 落 北京 口實 而 遭 挾制 ，
衝擊	LL	三 、 Ｍ 型 社會 的 衝擊 。
陷	LL	台灣 在 經濟 上 及 政治 上將 陷 危機 ；
危機	LL	台灣 在 經濟 上 及 政治 上將 陷 危機 ；
矛盾	LL	蔡英文 如今 正 處於 台灣 社會 在 心理 及 現實 上 的 重大 矛盾 中 。
杯葛	LL	太陽花 事件 所 導致 的 對 服貿 、 貨貿 及 自由 經濟 示範區 的 杯葛 ，
矛盾	LL	蔡英文 所 面對 的 矛盾 是 ：
糾纏	LL	但 顯然 也 有 一 股 想要 擺脫 藍 綠 糾纏 的 民意 ，
陷	LL	不能 陷於 前 文 所 述 北京 所 定義 的 挾制 脅迫 之 「 新機遇 」 。
脅迫	LL	不能 陷於 前 文 所 述 北京 所 定義 的 挾制 脅迫 之 「 新機遇 」 。
挾制	LL	不能 陷於 前 文 所 述 北京 所 定義 的 挾制 脅迫 之 「 新機遇 」 。
危機	LL	例如 證所稅 、 兩岸 服貿 協議 、 食安 危機 、 油 電價 雙 漲 、 九 年 國教 和 核四 商轉 等 問題 ，
杯葛	LL	當然 也 有 在野 杯葛 ；
危機	LL	是 政治 處理 不當 演變 成為 政治 危機 ，
陷	LL	或 因 程序 失當 而 深陷 泥淖 ，
泥淖	LL	或 因 程序 失當 而 深陷 泥淖 ，
嚴重	LL	乃至 治國 嚴重 偏聽 使 進言 管道 封閉 。
挫敗	LL	分析 上述 三 類 挫敗 危機 ，
危機	LL	分析 上述 三 類 挫敗 危機 ，
難辭其咎	LL	同樣 難辭其咎 。
杯弓蛇影	LL	杯弓蛇影 的 網路 集體 反智 現象
反智	LL	杯弓蛇影 的 網路 集體 反智 現象
爆發	LL	會 突然 爆發 監獄 事件 ，
反智	LL	這 是 媒體 的 反智 。
惡性 循環	LL	在 惡性 循環 下 ，
反智	LL	這 其實 已經 到 了 反智 、 偏執 、 無知 的 地步 了 。
偏執	LL	這 其實 已經 到 了 反智 、 偏執 、 無知 的 地步 了 。
無知	LL	這 其實 已經 到 了 反智 、 偏執 、 無知 的 地步 了 。
杯弓蛇影	LL	分析 這 種 杯弓蛇影 的 「 網路 集體 反智 」 現象 ，
反智	LL	分析 這 種 杯弓蛇影 的 「 網路 集體 反智 」 現象 ，
霸占	LL	以 太陽花 霸占 立法院 始 ，
陷	LL	台灣 即 可能 陷於 政經 危機 。
危機	LL	台灣 即 可能 陷於 政經 危機 。
引爆	LL	引爆 柯 文哲 的 素人 政治 山洪 。
衝突	LL	另方面 又 不致 在 立委 選舉 發生 爭票 衝突 。
衝擊	LL	公民 運動 對 民進黨 的 衝擊 ，
衝擊	LL	第一 項 衝擊 ，
爆發	LL	但 隨著 學運 爆發 ，
陷	LL	民進黨 完全 陷於 被動 ，
衝擊	LL	第二 項 衝擊 ，
妨礙	LL	不僅 妨礙 黨 內 新陳代謝 ，
藉口	LL	藉口 航路 擠爆 ，
大剌剌	LL	大剌剌 地 把 新 航線 劃 到 了 台灣 的 門口 。
風暴	LL	但 一九九九年 李登輝 無端 推出 「 兩 國論 」 引發 兩岸 風暴 ，
陷	LL	屢次 陷於 擦 槍 走火 的 戰爭 邊緣 ，
放任	LL	難道 美方 竟 放任 中共 進行 動武 的 部署 而 無動於衷 ，
逼	LL	新 航路 顯然 是 要 倒 逼 台灣 思考 開放 這 片 空域 ，
傷害	LL	卻 反 先 傷害 了 和平 發展 的 信譽 ，
步步為營	LL	卻 必須 步步為營 。
衝擊	LL	更 對 台灣 政治 、 社會 、 經濟 各 方面 都 造成 了 衝擊 ，
迫使	LL	並 迫使 執政 者 作出 退讓 。
嚴重	LL	對 台灣 好不容易 建立 的 法治 價值 造成 了 嚴重 破壞 。
破壞	LL	對 台灣 好不容易 建立 的 法治 價值 造成 了 嚴重 破壞 。
癱瘓	LL	皆 有 假藉 抗爭 的 道德性 來 癱瘓 體制 的 危險 。
危機	LL	皆 有 假藉 抗爭 的 道德性 來 癱瘓 體制 的 危險 。
上演	LL	青年 抗爭 是 近 幾 年 全球 各 地 都 在 上演 的 活動 ，
剝奪	LL	房價 的 飛漲 導致 新 世代 「 相對 剝奪感 」 的 惡化 ；
惡化	LL	房價 的 飛漲 導致 新 世代 「 相對 剝奪感 」 的 惡化 ；
引爆	LL	便 引爆 了 青年 世代 的 集體 狂潮 。
驅逐	LL	便 將 示威 者 驅逐 ；
絕無 可能	LL	否則 絕無 可能 。
陷	LL	台灣 陷入 無政府 狀態 不 是 沒 可能 的 事 。
諷刺	LL	尤其 諷刺 的 是 ，
癱瘓	LL	理當 議決 國家 大政 的 立法院 遭到 癱瘓 ，
剝奪	LL	一 、 世代 剝奪 ：
流失	LL	影響 經濟 利益 分配 、 程序 正義 不 周全 、 台灣 主體性 的 流失 、 兩岸 均勢 失衡 造成 台灣 可能 被 併吞 的 危機 …… 。
併吞	LL	影響 經濟 利益 分配 、 程序 正義 不 周全 、 台灣 主體性 的 流失 、 兩岸 均勢 失衡 造成 台灣 可能 被 併吞 的 危機 …… 。
危機	LL	影響 經濟 利益 分配 、 程序 正義 不 周全 、 台灣 主體性 的 流失 、 兩岸 均勢 失衡 造成 台灣 可能 被 併吞 的 危機 …… 。
陷	LL	或 台獨 反而 將 使 台灣 邊緣化 而 經濟 更 陷 困境 ？
 困境	LL	或 台獨 反而 將 使 台灣 邊緣化 而 經濟 更 陷 困境 ？
倒退	LL	這 是 大約 倒退 三十 年 的 大 逆流 ，
逆流	LL	這 是 大約 倒退 三十 年 的 大 逆流 ，
扭曲	LL	對 台灣史 及 中華民國 內涵 的 變造 、 扭曲 及 汙蔑 中 教育 而 成 的 。
變造	LL	對 台灣史 及 中華民國 內涵 的 變造 、 扭曲 及 汙蔑 中 教育 而 成 的 。
汙蔑	LL	對 台灣史 及 中華民國 內涵 的 變造 、 扭曲 及 汙蔑 中 教育 而 成 的 。
謬論	LL	但 蔡英文 竟 也 發表 「 台獨 是 天然 成分 ╱ 中國 會 向 民進黨 調整 」 的 謬論 ，
矛盾	LL	其中 的 矛盾 ，
陷	LL	若 陷 蔡英文 、 民進黨 及 整 個 台灣 於 「 地 動 山搖 」 ，
剝奪	LL	但 解決 台灣 世代 剝奪 、 經濟 困境 、 全球化 挑戰 及 兩岸 競合 的 方案 絕非 台獨 路線 。
 困境	LL	但 解決 台灣 世代 剝奪 、 經濟 困境 、 全球化 挑戰 及 兩岸 競合 的 方案 絕非 台獨 路線 。
衝擊	LL	禁不起 一 批 學生 的 衝擊 ，
陷	LL	瞬間 即 陷入 癱瘓 ，
癱瘓	LL	瞬間 即 陷入 癱瘓 ，
捍衛	LL	本 應 嚴正 捍衛 國會 的 尊嚴 、 自主 與 不可 侵犯 ，
難堪	LL	但 王金平 的 全部 心思 卻 放 在 如何 利用 學運 給 馬政府 難堪 ，
交易	LL	拿 法案 作為 交易 。
撕裂	LL	甚至 是 在 撕裂 及 分化 國民 意志 。
分化	LL	甚至 是 在 撕裂 及 分化 國民 意志 。
壟斷	LL	對 所謂 「 兩岸 政商 集團 」 壟斷 兩岸 交流 紅利 的 說法 ，
坐視	LL	坐視 情勢 惡化 ，
惡化	LL	坐視 情勢 惡化 ，
嚴重	LL	嚴重 失去 了 時空 轉換 的 方向感 ，
嚴重	LL	雖然 嚴重 「 教訓 」 了 執政黨 ，
陷	LL	台灣 將 一直 陷於 茫然 與 脫序 的 狀態 。
茫然	LL	台灣 將 一直 陷於 茫然 與 脫序 的 狀態 。
脫序	LL	台灣 將 一直 陷於 茫然 與 脫序 的 狀態 。
衝擊	LL	兩 次 運動 都 肇因 於 二 〇 〇 八 年 金融 危機 的 衝擊 。
危機	LL	他 收拾 金融 危機 的 手法 便 成 了 反彈 的 導火線 ；
矛盾	LL	卻 未 能 釐清 它們 之間 矛盾 的 可能性 。
嚴重	LL	也 對 共和黨 的 問政 造成 了 嚴重 的 拘絆 。
拘絆	LL	也 對 共和黨 的 問政 造成 了 嚴重 的 拘絆 。
上演	LL	下 一 幕 就 看 在 六月 可能 上演 的 柯 Ｐ 登陸 大 戲 。
打發	LL	就 能 打發 北京 及 社會 公評 ；
斷章取義	LL	他 也 必須 吞下 此 一 「 斷章取義 」 的 結論 ，
得寸進尺	LL	北京 正在 得寸進尺 ，
諷刺	LL	諷刺 的 是 ，
惡化	LL	恐怕 只 會 使 它 更 惡化 。
騙局	LL	第二 個 騙局 是 關於 綠營 內部 的 權力 鬥爭 問題 。
鬥爭	LL	第二 個 騙局 是 關於 綠營 內部 的 權力 鬥爭 問題 。
騙局	LL	這 豈不是 更 大 的 騙局 ？
憂慮	LL	這 項 憂慮 ，
杯葛	LL	她 又 揚言 將 比照 「 服貿 」 全力 杯葛 。
矛盾	LL	還 包括 了 她 自己 的 反覆 其 言 、 立場 前後 矛盾 ，
干擾	LL	只要 排除 選舉 障礙 及 日後 執政 干擾 即可 。
憂慮	LL	這 難道 不 是 台灣 人民 該 憂慮 的 事 ？
癱瘓	LL	向來 是 癱瘓 的 時間 比 運作 的 時候 多 ；
挟制	LL	並 受 太陽 花 勢力 的 挾制 而 困 陷於 台獨 論述 。
陷	LL	並 受 太陽 花 勢力 的 挾制 而 困 陷於 台獨 論述 。
陷	LL	卻 自 陷於 「 概括 承受 ╱ 反對 服 貿 」 的 政策性 矛盾 。
矛盾	LL	卻 自 陷於 「 概括 承受 ╱ 反對 服 貿 」 的 政策性 矛盾 。
杯葛	LL	再 加上 民進黨 的 極力 杯葛 ，
衝擊	LL	及至 近 兩 年 頻繁 的 社會 抗爭 及 太陽 花 事件 衝擊 ，
陷	LL	在 經濟 上 卻 陷入 互相 拉扯 的 泥淖 ，
泥淖	LL	在 經濟 上 卻 陷入 互相 拉扯 的 泥淖 ，
戲碼	LL	台灣 政壇 上演 的 只有 「 爭 」 、 「 反 」 、 「 拖 」 的 戲碼 ，
倒退	LL	整 個 台灣 經濟 一路 倒退 嚕 ，
動輒	LL	動輒 耗掉 國家 十幾 、 二十 年 的 時光 ，
干擾	LL	互相 干擾 與 詛咒 ，
詛咒	LL	互相 干擾 與 詛咒 ，
一廂情願	LL	同時 也 宣告 單 極權 力圖 像 已 無力 支撐 太陽 花 一廂情願 的 政治 想像 。
壟斷	LL	破除 少數 政商 集團 壟斷 兩岸 交流 利益 ，
仇恨	LL	半 世紀 前 彈 如 雨 落 的 創痕 與 仇恨 ，
仇恨	LL	就 意味 著 再 去 溯 尋 戰爭 、 挑動 仇恨 、 放棄 和平 ，
