標記內容	宣傳手法	原句
戰場	LL	蔡 總統 勿 把 國會 變成 殺戮 戰場
傷害	LL	但 真正 受到 傷害 的 ，
杯葛	LL	民進黨 卻 因 擔心 在野黨 議事 杯葛 ，
杯葛	LL	國會 議事 杯葛 的 祖師爺 正 是 民進黨 自己 ；
拖延	LL	能 有 多 大 拖延 能耐 ？
戰場	LL	立法院 卻 淪為 殺戮 戰場 ，
暴力	LL	民進黨 以 在野 少數 身分 採取 暴力 抗爭 策略 ，
大剌剌	LL	幹事長 吳秉叡 在 強行 表決 得逞 後 還 大剌剌 地 說 ：
陷	LL	政府 卻 陷入 了 「 一言堂 」 的 泥淖 ，
戰場	LL	把 立法院 變成 殺戮 戰場 ，
壟斷	LL	朴槿惠 的 親信 閨密 壟斷 青瓦台 的 買辦 政治 ，
侵犯	LL	立法院長 蘇嘉全 對 學生 侵犯 立委 個人 空間 大為 震怒 ，
譴責	LL	要 發表 聲明 譴責 學生 ，
諷刺	LL	何其 諷刺 ！
扭曲	LL	而是 民進黨 對 民主 法治 主觀 信念 的 扭曲 ，
癱瘓	LL	導致 國會 癱瘓 長達 廿多 天 ，
癱瘓	LL	為何 當時 學生 癱瘓 國會 被 捧為 英雄 ，
侵犯	LL	並 不 構成 侵犯 隱私 或 肖像權 。
難辭其咎	LL	馬 政府 當時 處理 的 張皇失措 自 難辭其咎 ，
暴力	LL	並 指控 維持 秩序 的 警察 為 「 國家 暴力 」 ，
大話	LL	對比 太陽花 時 的 種種 曖昧 和 大話 ，
羞愧	LL	民進黨 不 感到 羞愧 嗎 ？
傷害	LL	過度 以 年齡 為 區隔 的 決策 除了 傷害 世代 感情 ，
倒退	LL	造成 國家 的 倒退 。
難堪	LL	台灣人 恐怕 只 會 感到 難堪 。
嚴重	LL	我們 內部 的 問題 可能 還 更 嚴重 。
脫序	LL	不僅 容易 脫序 ，
衝撞	LL	太陽 花 學運 以 「 公民 不 服從 」 為 名 衝撞 民主 ，
諷刺	LL	不免 讓 人 倍覺 諷刺 。
錯愕	LL	而是 無言以對 及 錯愕 的 成分 居多 。
根本	LL	根本 沒 養 狗 ，
矛盾	LL	而是 要 指出 台灣 政治 的 虛無 和 矛盾 本質 ，
陷	LL	它 不僅 陷入 偏頗 的 黨派 觀點 ，
根本	LL	其 根本 原因 也 是 因為 太陽花 。
倒退	LL	至少 使 兩岸 關係 停滯 或 倒退 了 四 年 。
鬥爭	LL	清算 鬥爭 之 風 從 政治 吹向 教育 ，
陷	LL	兩岸 關係 一 年 來 陷入 低谷 ，
衝擊	LL	政府 不 思 設法 解開 台灣 在 各 領域 因 交流 縮減 所 受 的 衝擊 ，
見獵心喜	LL	教育部 卻 見獵心喜 地 隨 政客 和 綠媒 起舞 ，
故意	LL	教育 部門 為何 故意 強加 罪名 ？
陷	LL	不僅 同樣 自 陷 形式 主義 的 框框 ，
諷刺	LL	豈不 諷刺 ！
扭曲	LL	任由 意識 形態 引導 的 教育 決策 將 把 教育 扭曲 到 何 種 地步 ？
踐踏	LL	既 踐踏 了 高等 教育 的 自主性 ，
踐踏	LL	也 踐踏 了 自己 的 民主 追求 。
磨刀 霍霍	LL	包括 監委 提名人 磨刀 霍霍 向 司法 ，
引爆	LL	引爆 新 世代 對 現實 的 不滿 ，
衝擊	LL	更 衝擊 了 台灣 好不容易 建立 的 民主 價值 。
嚴重	LL	更 嚴重 的 是 ，
倒退	LL	此 一 景象 反映 的 就是 台灣 民主 在 後 太陽花 時代 的 大 倒退 。
磨刀 霍霍	LL	人們 聽到 的卻 是 制訂 「 保防法 」 、 「 反 滲透法 」 、 「 打擊 假 新聞 」 的 磨刀 霍霍 ，
危害	LL	在 要求 臨檢 須 以 「 有 相當 理由 認 其 行為 已 構成 或 即將 發生 危害 者 為限 」 ，
危害	LL	應 限於 「 已 發生 危害 」 ，
危害	LL	或 依 客觀 合理 判斷 「 易 生 危害 」 之 處所 。
逾越	LL	並 未 逾越 大法官 解釋 意涵 。
扭曲	LL	這 其實 扭曲 了 言論 自由 的 真諦 。
扭曲	LL	不啻 是 在 紀念 一 個 扭曲 的 典範 。
杯葛	LL	更 用 「 聯席 審查 」 來 杯葛 議事 ，
陷	LL	有 人 衝鋒陷陣 ，
霸占	LL	霸占 國會 及 公署 當然 都 是 妨害 公務 、 違反 公共 利益 的 違法 行為 ，
嚴重	LL	也 為 法治 帶來 嚴重 的 後遺症 。
扭曲	LL	其 說詞 尤其 讓 人 感到 扭曲 。
扭曲	LL	不惜 刻意 扭曲 法律 ；
鬥爭	LL	意識 形態 的 鬥爭 正 走向 終結 ，
陷	LL	經歷 民主 革命 的 中東 國家 幾乎 都 陷於 混亂 失序 ，
危機	LL	過去 西方 自豪 的 「 華盛頓 共識 」 ─ ─ 即 福山 所 說 的 自由 民主 與 市場 經濟 ─ ─ 無法 有效 因應 危機 ，
風暴	LL	由 此 引發 的 民粹 風暴 ，
迫使	LL	迫使 總統 朴槿惠 提前 下台 。
衝擊	LL	造成 大量 基層 人民 的 生活 受到 衝擊 。
引爆	LL	引爆 怨怒 。
嚴重	LL	是 它 反映 了 黨 的 路線 一 次 嚴重 的 分歧 ，
遑論	LL	遑論 要 說服 社會 大眾 。
傷痕	LL	一 邊 是 「 一 中 同 表 」 的 傷痕 仍 在 隱隱 作 疼 ，
危機	LL	這 是 國民黨 最 深 的 危機 。
戰場	LL	嘴砲課 綱要 把 「 天然 獨 」 推向 戰場 ？
陷	LL	萬一 台海 陷入 戰爭 ，
戰場	LL	問 誰 願意 為 台獨 奔赴 戰場 ，
戰場	LL	顯示 願 為 台獨 奔赴 戰場 的 比率 竟然 不 到 一成五 ，
矛盾	LL	這 種 口頭 與 行動 的 矛盾 ，
譴責	LL	有 人 以 王丹 鼓吹 流血 而 譴責 他 ，
故意	LL	故意 要 繃緊 兩岸 關係 ，
仇恨	LL	催化 兩岸 仇恨 意識 ，
悲劇	LL	這 將 是 多 可怕 的 悲劇 ！
軟弱	LL	說 「 國家 不能 再 這樣 軟弱 下去 」 。
撕裂	LL	也 顯示 被 撕裂 的 台灣 已經 失去 「 團結 一心 」 的 可能 。
區區	LL	區區 一 名 示威 者 闖過 封鎖 線 ，
暴力	LL	警方 面對 的 只是 一 群 存心 鬧場 、 卻 沒有 暴力 意圖 的 示威 者 ，
光榮	LL	何以 他們 竟然 不 顧惜 國家 的 光榮 和 顏面 ，
剝奪	LL	然後 又 強行 加以 剝奪 ，
嚴重	LL	使 他們 產生 了 嚴重 的 相對 剝奪感 ，
踐踏	LL	甚至 到 了 踐踏 法治 的 地步 ，
嚴重	LL	是 妨礙 選手 進場 嚴重 ，
嚴重	LL	還是 妨害 國會 運作 嚴重 ？
譴責	LL	受到 了 輿論 強烈 的 譴責 ，
光榮	LL	台灣 的 光榮感 變得 難以 分享 ，
上演	LL	世大運 開幕式 上演 的 ，
倒退	LL	而 演出 「 尾巴 搖狗 」 的 倒退 局面 。
膚淺	LL	這樣 膚淺 的 想法 ，
荒謬	LL	其 過程 之 草率 與 荒謬 ，
陷	LL	課本 本來 就 沒 必要 陷入 獨尊 「 唐宋八大家 」 的 迷思 ，
蕩然無存	LL	更 使 憲法 要求 立法 應 「 議決 」 的 精神 蕩然無存 。
衝突	LL	民進黨 霸占 主席台 造成 議事 衝突 ，
扭曲	LL	卻 扭曲 成 「 立法院 要 怎麼 玩 ，
杯葛	LL	當初 在野黨 杯葛 國安 三 法 ，
暴力	LL	一 則 是 反對 「 多數 暴力 」 ，
藉口	LL	如今 竟 拿來 當成 蘇嘉全 獨斷 濫權 的 藉口 。
諷刺	LL	實是 莫大 的 諷刺 ！
拖延	LL	而 不 是 今天 才 開始 學習 處理 異議 或 議事 拖延 。
倒退	LL	民主 的 大 倒退 。
譴責	LL	譴責 這些 大 開倒車 的 立委 ？
扭曲	LL	這 次 扭曲 的 議事 處理 ，
藉口	LL	蘇嘉全 拿 著 「 一 事 不二議 」 為 藉口 ，
大剌剌	LL	大剌剌 敲下 議事 槌 宣告 通過 前瞻 預算 ，
恥	LL	他 不自覺 可恥 嗎 ？
撕裂	LL	中秋 和 國慶 只 看到 社會 撕裂 景象
傷害	LL	只 看到 「 台獨 論 」 對 兩岸 關係 的 傷害 ，
撕裂	LL	卻 忽略 它 對 國內 社會 族群 的 撕裂 ，
嚴重	LL	則 是 更 嚴重 的 盲目 。
撕裂	LL	用 台獨 意識 和 國家 認同 來 撕裂 社會 ，
衝擊	LL	蔡英文 何以 對 兩岸 關係 生變 衝擊 觀光 業者 生計 而 面不改色 ？
大剌剌	LL	蘇嘉全 為何 敢 大剌剌 把 國旗 「 變不 見 」 ？
撕裂	LL	蔡 政府 都 在 公然 撕裂 國家 ，
仇恨	LL	一 個 離心離德 的 社會 將 充滿 怨怒 、 衝突 與 仇恨 ，
仇恨	LL	將 對立 及 仇恨 之 根扎進 下一代 的 腦 中 。
仇恨	LL	太陽 花 運動 又 帶進 世代 的 仇恨 ；
矛盾	LL	再 加上 社會 上 原有 的 藍 綠 對峙 和 階級 矛盾 ，
陷	LL	又 陷入 倒退 。
剝奪	LL	剝奪 當事者 人權 。
肆無忌憚	LL	執政黨 對付 反對黨 人士 仍 可以 如此 肆無忌憚 ，
譴責	LL	卻 反而 譴責 王炳忠 的 臉書 直播 是 踰法 行為 。
衝突	LL	一路 衝突 不斷 ，
衝突	LL	並 與 警方 多 次 發生 衝突 ，
窘境	LL	不少 社運 團體 又 重新 面對 了 自己 色厲內荏 及 一面倒 的 窘境 。
根本	LL	那些 根本 叫 不 動 勞工 上街 的 工會 團體 ，
上演	LL	朝野 攻 防 再度 上演 三國演義 。
戲碼	LL	戲碼 一點 都 不 新 ，
霸占	LL	霸占 國會 ，
諷刺	LL	時力 立委 徐永明 諷刺 藍軍 說 ，
戰場	LL	時代 力量 一直 主導 「 全面 摧毀 戰場 」 的 零和 遊戲 ；
衝突	LL	這 能 使 民進黨 假藉 衝突 為 名 ，
奪取	LL	終 能 搞垮 立院 奪取 政權 ；
戲碼	LL	除了 以 激越 的 抗爭 戲碼 動員 群眾 杯葛 外 ，
霸占	LL	卻 以 霸占 、 封鎖 國會 為 能事 。
恥	LL	會 知恥 臉紅 ，
羞辱	LL	任 其 放言 「 查 法官 」 這 等 羞辱 司法 的 舉措 ，
矛盾	LL	矛盾 至 此 ，
仇恨	LL	販賣 仇恨 ，
窘境	LL	也 暴露 了 自己 囊 中 空虛 的 窘境 。
仇恨	LL	一些 前所未見 的 仇恨 被 挑起 。
迫使	LL	卻 是 迫使 更多 年輕 世代 前往 對岸 工作 ；
仇恨	LL	只是 激發 更多 社會 仇恨 。
得不償失 。	LL	真是 得不償失 。
仇恨	LL	是 在 台灣 不斷 販售 仇恨 ，
衝突	LL	世代 衝突 、 世代 剝奪 ，
動輒	LL	一些 年長 名人 對 年輕人 的 「 指教 」 動輒得咎 ，
引爆	LL	酸言 在 網路 同 溫層 引爆 ，
衝突	LL	世代 衝突 的 根源 ，
併吞	LL	最後 目的 都 是 要 「 併吞 台灣 」 。
根本	LL	或許 他 根本 沒 想 過 ，
併吞	LL	目的 只是 要 併吞 台灣 ？
併吞	LL	讓 陸客 直飛 台南 是 要 併吞 台南 ？
仇恨	LL	已 不再 只是 歷史 恩怨 或 意識 形態 仇恨 ，
衝擊	LL	是 張志軍 任內 遭受 的 沉重 衝擊 ，
暴力	LL	「 併吞 」 卻 是 暴力 吞噬 ，
衝突	LL	呈現出 衝突 和 諷刺 交織 的 荒謬感 。
漠視	LL	他 不僅 漠視 閣揆 的 言論 責任 ，
侵犯	LL	無視 自己 的 發言 侵犯 了 總統 職權 ，
破壞	LL	賴清德 破壞 憲政 分際 、 輕忽 政治 責任 ，
諷刺	LL	諷刺 的 是 ，
上演	LL	國家 人權 博物館 卻 上演 了 一 場 「 扼殺 言論 」 的 大 戲 。
濫用	LL	除了 濫用 權力 ，
干擾	LL	未來 要 領導 檢察 體系 獨立 辦案 免於 政治 干擾 即 成 奢談 。
羞辱	LL	甚至 常常 帶有 強烈 羞辱 字眼 ；
大話	LL	那麼 段宜康 的 政治 大話 和 道德 優越感 根本 是 無的放矢 ，
絕無 可能	LL	這 絕無 可能 為 台灣 民主 注入 清新 、 正直 的 力量 。
黨政 不 分	LL	以及 安排府 秘書長 陳菊 出任 蘇貞昌 競選 總部 主委 的 黨政 不 分 。
諷刺	LL	諷刺 的 是 ，
仇恨	LL	才能 製造出 「 統治 者 的 工具 」 、 「 威權 幫兇 」 的 仇恨 標籤 。
暴力	LL	宣稱 政府 「 不會 在 暴力 下 低頭 」 ，
譴責	LL	引發 國際 譴責 。
衝撞	LL	即使 比起 早年 民進黨 群眾 在 街頭 的 衝撞 ，
暴力	LL	這一天 反 年改 示威 的 暴力 程度 也 絕對 望塵莫及 ，
暴力	LL	說 什麼 「 不會 在 暴力 下 低頭 」 。
暴力	LL	示威 者 一時 失控 的 「 暴力 」 ，
暴力	LL	比起 蔡 政府 的 「 執政 暴力 」 ，
暴力	LL	所以 才 會 發生 這 種 連記 者 和 警察 都 挨打 的 暴力 ；
過激	LL	反 年改 團體 的 一些 過激 行為 ，
抹煞	LL	他們 抗議 的 權利 不容 抹煞 。
凶險	LL	其實 卻 為 台灣 帶來 凶險 和 後患 ，
混亂	LL	如果 算上 法治 觀念 的 混亂 和 世代 鴻溝 的 加深 ，
剝奪	LL	忽略 了 被 改革 者 深重 的 「 被 剝奪感 」 ，
危機	LL	更 將 缺 電 危機 留給 全 台 剉 著 等 。
撕裂	LL	其實 是 國家 共同感 的 失去 與 社會 撕裂感 的 增強 。
嚴重	LL	就是 最 嚴重 的 失職 。
鬥爭	LL	被 鬥爭 成性 的 執政黨 完全 踐踏 ，
藉口	LL	這些 鬥爭 雖 打 著 「 轉型 正義 」 的 藉口 旗號 進行 ，
鬥爭	LL	這 種 不擇手段 的 敵我 鬥爭 ，
殘害	LL	對 台灣 民主 制度 的 殘害 卻 是 不可 小覷 的 問題 。
大剌剌	LL	人們 不會 看到 一 個 接 一 個 偏頗 的 法案 大剌剌 地 過關 ，
自傷	LL	反制 大陸 慎 勿 傷人 不成 反 自傷
併吞	LL	閣揆 賴清德 也 痛斥 中共 惠台 目的 是 要 「 併吞 台灣 」 ，
傷害	LL	中共 的 打壓 固 傷害 台灣 民眾 的 情感 ，
陷	LL	而 兩岸 關係 陷 在 反 中 泥沼 中 。
陷	LL	反 將 自 陷 困境 ；
陷	LL	也 恐 自掘 陷阱 。
困窘	LL	暴露 的 就是 民進黨 的 困窘 。
踐踏	LL	憲政 屢 遭 踐踏 ，
撕裂	LL	社會 不斷 撕裂 ，
自傷	LL	各 項 決策 慎 勿 傷人 不成 反 自傷 。
傷害	LL	大陸 則 應 以 不 傷害 台灣 民眾 情感 為 念 ，
漠然	LL	從 中央 到 地方 卻 都 漠然 以 對 ，
根本	LL	根本 與 事實 不符 ，
嚴重	LL	也 淡化 了 治安 疏漏 的 嚴重性 。
脫序	LL	還 發生 群眾 擅闖 台鐵 華山 引道 地 下軌 道 開 趴 的 脫序 行為 。
脫序	LL	近年 來 發生 不少 違法 脫序 的 抗爭 ，
踐踏	LL	社會 法治 遭到 踐踏 ，
脫序	LL	華山 大 草原 上 的 脫序 行為 只是 其 縮影 之 一 。
傷害	LL	並 傷害 法治 。
短短	LL	短短 一 個 多 月 ，
嚴重	LL	兩 人 都 嚴重 影響 政府 形象 和 士氣 ，
脫序	LL	都 導致 政府 運作 脫序 。
嚴重	LL	近期 蔡 政府 黨政 不 分 及 指揮 越界 的 問題 日益 嚴重 ，
嚴重	LL	政府 效能 和 國家 競爭力 更 嚴重 流失 。
壟斷	LL	等於 國發 會 被 賴清德 人馬 壟斷 ；
令 人 痛心 的	LL	令 人 痛心 的 是 ，
耽溺	LL	則 顯示 「 小英 團隊 」 仍然 耽溺 在 宣傳 及 政治 包裝 的 大業 ，
本末倒置	LL	也 顯示 她 對 軍事 的 態度 本末倒置 。
矛盾	LL	時代 力量 和 台北 市長 柯文哲 之間 最近 發生 了 幾 波 拉扯 矛盾 ，
諷刺	LL	諷刺 的 是 ，
諷刺	LL	更 諷刺 的 是 ，
讓 人 遺憾	LL	只是 讓 人 遺憾 台灣 仍 在 虛度 光陰 。
仇恨	LL	而 不 是 用 敵意 召喚 仇恨 及 鎖國 。
爆發	LL	以及 面對 即將 爆發 中央 地方 拉扯 的 兩岸 城市 交流 等 問題 ，
衝擊	LL	第三 勢力 能否 扮演 衝擊 藍綠 的 角色 ，
衝撞	LL	近日 仍 有 學生 以 衝撞 方式 要求 在 台大 演講 的 當年 閣揆 江宜樺 「 滾出去 」 ，
譴責	LL	有 人 譴責 學生 像 「 紅衛兵 」 ，
譴責	LL	雖 找到 一 個 籠統 的 譴責 對象 ，
諷刺	LL	諷刺 的 是 ，
煽動	LL	但 仍 有 十多 名 當年 占領 行政院 的 煽動 者 卻 還 承受 著 「 妨害 公務 罪 」 的 纏訟 之 苦 。
侵犯	LL	不 應 恣意 侵犯 ，
遑論	LL	遑論 占領 。
癱瘓	LL	但 其 後果 是 整 個 國家 的 政務 可能 癱瘓 ；
爾虞我詐	LL	或者 槍口 對 內 為 拚 初選 而 爾虞我詐 ，
引爆	LL	終 致 太陽 花 事件 引爆 變天 。
衝突	LL	及 全球化 改變 貿易 與 產業 秩序 導致 各 國 貧富不均 衝突 四起 ，
矛盾	LL	內政 問題 在 經濟 分配 失衡 下 矛盾 加劇 。
矛盾	LL	並 「 借力 使力 」 利用 外在 威脅 轉移 內部 矛盾 ，
危機	LL	從 蔡 應對 危機 的 意志 ，
耽溺	LL	所謂 的 「 天王 」 更 耽溺 於 自己 的 大 位 爭逐 ，
根本	LL	顯示 蔡 政府 已 認為 國民黨 中央 根本 可以 略過 不 談 ；
崩盤	LL	導致 民進黨 崩盤 。
戲碼	LL	政治 人物台 前台 後 戲碼 不斷 ，
衝突	LL	貿易 衝突 不斷 ，
癥結	LL	也 說明 了 台灣 經濟 不 進 反 退 的 癥結 。
杯葛	LL	當時 立法 未 過 是 因為 民進黨 杯葛 ，
杯葛	LL	民進黨 之所以 全力 杯葛 「 自 經 區 」 ，
嚴重	LL	更 嚴重 的 是 ，
引爆	LL	韓國 瑜 這 次 引爆 「 自 經 區 」 爭議 ，
扭曲	LL	政黨 政治 卻 被 扭曲 成 「 有 我 無 你 」 互 不 相容 的 惡鬥 ，
陷	LL	核四 之所以 陷入 今天 的 垂死 掙扎 ，
蹉跎	LL	而 如此 一 蹉跎 ，
矛盾	LL	還是 轉 不 出 自己 矛盾 框架 的 非核 家園 ？
陷	LL	藍綠 兩 黨 目前 都 陷於 明年 總統 大選 提名 的 焦慮 與 膠著 。
憂慮	LL	更 反映 民眾 對 台灣 陷於 內耗 而 裹足不前 的 問題 憂慮 至極 ，
憂慮	LL	這 股 憂慮 遂 爆發 為 憤怒 。
爆發	LL	都 可以 看到 類似 的 民怨 爆發 ：
鬥爭	LL	蔡英文 許多 高調 的 改革 作為 卻 淪為 政治 鬥爭 ，
衝擊	LL	都 極 可能 衝擊 其 人氣 ，
陷	LL	有 些 人 雖 無法 一馬當先 衝鋒陷陣 ，
衝擊	LL	也 是 這些 顛覆 者 帶來 的 衝擊 。
動輒	LL	甚至 為了 防 弊 動輒 科 以 刑責 ，
「 反 民主 」	LL	當 「 反中 」 和 「 反 民主 」 成雙 出現
侵犯	LL	民眾 有沒有 意識到 台灣 的 民主 正 受到 侵犯 ？
踐踏	LL	卻 忽略 她 對 內 踐踏 民主 、 建立 威權 的 作為 ，
抗中	LL	「 反中 」 、 「 抗中 」 一向 是 民進黨 的 選舉 利器 ，
煽動	LL	包括 透過 網路 煽動 的 「 亡國感 」 ，
流失	LL	從而 使 原有 優勢 一點一滴 地 流失 。
「 反 民主 」	LL	「 反中 」 和 「 反 民主 」 成雙 出現 ，
諷刺	LL	最 諷刺 的 是 ，
剝奪	LL	它 自己 卻 同時 推動 著 剝奪 人民 權利 、 侵害 民主 法治 、 輕率 入人 於 罪 的 政策 ，
矛盾	LL	這 豈不 矛盾 ？
踐踏	LL	卻 忽略 了 他 的 腳 下 正在 踐踏 台灣 辛苦 建立 的 民主 ，
光榮	LL	有沒有 提升 台灣 的 光榮感 ？
剝奪	LL	人民 公投 的 權利 被 蔡 政府 剝奪 了 ，
被 踐踏	LL	民主 被 踐踏 ，
暴力	LL	跨出 暴力 的 一 步 ，
暴力	LL	質疑 暴力 反送 中 的 正當性 ，
暴力	LL	中港 政府 如何 處理 這 暴力 的 一 步 ，
交易	LL	然而 峰 會 充斥 強權 基於 現實 利害 的 政經 交易 ，
暴力	LL	但 暴力 顯然 傷及 運動 的 社會 支持 ，
危機	LL	最終 仍 由 民眾 承擔 一國兩制 治理 危機 的 苦果 ，
「 不 作為 」	LL	政府 班子 更 像 是以 「 不 作為 」 設局 ，
嚴重	LL	積累 嚴重 被 剝奪感 ；
危機	LL	演變成 國族 認同 危機 ，
傷痕	LL	不能 再 讓 社會 傷痕 反復 流血 結痂 ，
衝擊	LL	可能 衝擊 時力 的 路線 及 年輕 選票 。
受挫	LL	讓 他 受挫 不 小 ，
迫使	LL	也 迫使 他 轉向 重 經濟 的 淺藍 選民 尋求 支持 。
衝擊	LL	對 藍軍 必 有 衝擊 。
大話	LL	台灣 政黨 政治 從來 不 缺 改革 大話 ，
濫用	LL	由於 其中 涉及 總統 國安 特勤 人員 濫用 特權 ，
嚴重	LL	嚴重 破壞 了 蔡英文 出訪 的 外交 成果 ，
區區	LL	區區 綠黨 的 一 名 地方 議員 ，
陷	LL	如今 內部 仍 陷於 「 要不要 當 小綠 」 的 掙扎 中 ，
危機	LL	國安 私菸案 暴露 了 蔡英文 的 執政 危機 ，
迫使	LL	迫使 她 道歉 滅火 。
羞愧	LL	缺乏 羞愧 之 意 ；
撇開	LL	撇開 黃國昌 的 政治 算計 不 談 ，
諷刺	LL	更 諷刺 的 是 ，
肆無忌憚	LL	肆無忌憚 ，
藉口	LL	但 藉口 改革 卻 變相 包庇 貪腐 的 濫權 政府 ，
嚴重	LL	卻 是 台灣 更 嚴重 的 內在 威脅 。
倒退	LL	更 說明 歷史 的 倒退 是 可能 的 。
賠上	LL	這 賠上 了 台灣 五 年 正常 發展 的 機運 ，
混亂	LL	只 見 政治 愈發 虛無 而 混亂 。
崩裂	LL	「 時代 力量 」 則 無法 擺脫 「 大綠 」 的 餵養 而 瀕 於 崩裂 。
鬥爭	LL	最終 證明 了 這 只是 政客 鬥爭 操弄 的 棋子 ；
踐踏	LL	對 基本 的 民主 法制 都 胡亂 踐踏 。
惡化	LL	反而 愈形 惡化 。
本末倒置	LL	豈非 本末倒置 ？
煽動	LL	也 是 對 蔡 政府 推 「 國安 五 法 」 煽動 對 大陸 敵意 採取 反制 ，
葬送	LL	平白 葬送 了 一 個 向 全 國 人民 溝通 喊話 的 機會 ，
葬送	LL	切勿 輕易 葬送 了 彼此 的 機會 ！
葬送	LL	連 自己 權力 的 正當性 也 隨之 葬送 。
鬥獸場	NCL	兩 黨 把 議場 當成 鬥獸場 、 馬戲團 。
天王 們	NCL	天王 們 則 輕鬆 笑看 學生 充當 綠軍 的 馬前卒 ，
揭弊 者	NCL	結果 是 揭弊 者 遭到 判刑 ，
「 司法 鐵漢	NCL	「 司法 鐵漢 」 落得 如此 下場 ，
正義 之 師	NCL	他 沒有 扮演 成功 「 正義 之 師 」 ，
最 厲 的 鬼魅	NCL	這 半 年 多 來 折磨 黃世銘 最 厲 的 鬼魅 ，
法匠	NCL	這 又 是 另 一 法匠 見解 。
活 在 「 象牙塔 裡 」 的 人 ？	NCL	法官 難道 是 活 在 「 象牙塔 裡 」 的 人 ？
